date,open,high,low,close,volume
2016-07-18,1665.0,1673.0,1651.5,1658.5,1184
2016-07-19,1658.5,1663.0,1635.0,1644.0,1084
2016-07-20,1644.0,1648.0,1611.0,1622.0,1701
2016-07-21,1622.0,1633.0,1598.0,1602.0,1371
2016-07-22,1602.0,1622.0,1599.5,1611.0,1274
2016-07-25,1612.0,1620.0,1596.5,1610.0,1020
2016-07-26,1610.0,1612.5,1592.0,1596.0,1205
2016-07-27,1596.0,1602.0,1588.0,1595.0,1156
2016-07-28,1595.0,1611.0,1592.0,1609.0,1406
2016-07-29,1609.0,1644.0,1606.0,1639.5,1996
2016-08-01,1641.5,1663.0,1628.0,1634.0,1502
2016-08-02,1634.0,1652.0,1621.0,1621.0,2041
2016-08-03,1621.0,1648.5,1614.0,1643.0,1665
2016-08-04,1641.0,1644.0,1619.5,1623.0,1373
2016-08-05,1623.0,1649.0,1623.0,1645.0,1404
2016-08-08,1649.5,1659.0,1636.0,1641.0,964
2016-08-09,1641.0,1646.0,1634.0,1644.0,665
2016-08-10,1644.0,1666.5,1639.5,1642.0,1069
2016-08-11,1642.0,1658.0,1642.0,1652.0,860
2016-08-12,1652.0,1658.0,1640.0,1651.0,1258
2016-08-15,1651.0,1678.0,1647.0,1675.0,1095
2016-08-16,1675.0,1693.0,1670.0,1693.0,1260
2016-08-17,1692.5,1697.5,1683.5,1694.5,1130
2016-08-18,1694.5,1709.0,1680.0,1683.0,1589
2016-08-19,1683.0,1687.0,1655.5,1669.0,1454
2016-08-22,1669.0,1669.0,1655.0,1667.5,1137
2016-08-23,1667.5,1674.0,1661.0,1670.0,806
2016-08-24,1667.0,1672.0,1642.0,1649.0,1309
2016-08-25,1650.5,1653.5,1632.0,1644.0,1004
2016-08-26,1644.0,1654.5,1638.5,1647.5,1000
2016-08-30,1648.0,1648.0,1625.5,1631.5,1332
2016-08-31,1629.5,1636.0,1611.0,1615.0,2712
2016-09-01,1615.0,1623.0,1598.5,1617.0,1550
2016-09-02,1617.0,1620.0,1592.5,1594.0,1766
2016-09-05,1594.0,1603.5,1575.5,1579.5,1193
