date,open,high,low,close,volume
2015-01-02,758.5,761.5,737.5,748.0,1579761
2015-01-05,747.0,759.0,721.0,722.0,2704349
2015-01-06,726.5,734.0,715.5,717.5,3154680
2015-01-07,724.0,732.0,711.5,719.5,2334375
2015-01-08,728.5,751.0,726.5,746.0,3205061
2015-01-09,748.0,755.0,735.5,750.0,2397875
2015-01-12,752.5,752.5,718.5,727.5,3638649
2015-01-13,729.0,729.0,701.5,709.0,4272442
2015-01-14,660.0,680.0,620.0,675.0,9561684
2015-01-15,678.0,683.0,652.5,670.0,4743758
2015-01-16,667.5,696.5,660.5,691.0,3958840
2015-01-19,706.5,708.3300170898438,682.5,693.5,2246614
2015-01-20,695.5,709.0,690.0,704.5,2563453
2015-01-21,703.0,713.0,693.0,712.5,3063310
2015-01-22,716.0,743.5,694.8809814453125,719.0,4809174
2015-01-23,714.0,714.0,681.5,684.5,4866857
2015-01-26,664.0,698.0,659.0,697.0,2876925
2015-01-27,699.0,703.0,684.0,693.5,1901597
2015-01-28,696.0,696.0,664.0,673.5,6420333
2015-01-29,660.0,665.5,646.0,655.0,4507734
2015-01-30,653.0,663.0,649.0,650.0,3809437
2015-02-02,651.0,672.5,649.0,672.0,5171423
2015-02-03,682.0,709.0,682.0,706.0,4892365
2015-02-04,709.0,718.0,682.0,697.5,4951994
2015-02-05,694.0,712.0,684.0,711.0,2109267
2015-02-06,715.5,715.5,698.5,702.0,2054422
2015-02-09,701.0,719.0,699.5,716.5,1629425
2015-02-10,720.0,721.0,684.8200073242188,693.5,3278107
2015-02-11,697.0,697.0,682.89501953125,690.5,2015169
2015-02-12,688.0,709.5,687.0,705.5,2617609
2015-02-13,713.0,738.5,713.0,731.0,3598033
2015-02-16,732.5,753.0,729.0,750.0,2236736
2015-02-17,744.5,767.0,730.5,744.0,3417611
2015-02-18,747.0,755.5,735.0,752.5,2276841
2015-02-19,753.0,755.5,740.0,748.0,1507215
2015-02-20,747.0,761.0,746.5,753.5,2252880
2015-02-23,750.0,754.5,727.0,732.5,2891206
2015-02-24,736.5,756.5,723.0,754.5,2828818
2015-02-25,753.0,766.5,747.5,754.0,2568550
2015-02-26,755.0,786.0,754.0,768.0,3791395
2015-02-27,765.0,771.5,760.5,767.0,2252190
2015-03-02,770.5,778.0,761.0,765.0,2342287
2015-03-03,763.5,765.5,753.0,755.0,3186360
2015-03-04,753.5,757.5,738.5,740.5,1964412
2015-03-05,736.5,754.5,730.5,754.0,6565329
2015-03-06,750.0,756.5,743.0,748.0,1945381
2015-03-09,740.0,754.5,737.0,752.5,2494202
2015-03-10,745.0,745.0,711.0,711.0,4655832
2015-03-11,711.0,717.0989990234375,693.5,699.0,3781246
2015-03-12,710.0,722.7550048828125,700.5,700.5,3139047
2015-03-13,702.0,714.0,692.0,698.5,2085609
2015-03-16,701.5,708.0,691.5,707.0,2881074
2015-03-17,687.5,703.5,675.5,687.0,4401024
2015-03-18,690.0,692.5,675.0,681.5,4547429
2015-03-19,689.5,707.0,687.5,695.0,4163869
2015-03-20,698.5,716.0,686.5,714.5,3808132
2015-03-23,716.5,729.0,706.5,727.0,2339986
2015-03-24,728.0,739.5,723.5,724.0,3029473
2015-03-25,725.5,735.5,722.5,728.5,1498932
2015-03-26,713.5,738.5,712.5,724.5,2900075
2015-03-27,720.0,721.5,704.4199829101562,715.0,2696848
2015-03-30,724.0,746.8380126953125,715.0,739.5,2965245
2015-03-31,745.0,762.0,729.5,732.5,4742605
2015-04-01,732.0,739.5,720.5,733.5,3514089
2015-04-02,729.5,732.0,715.0,718.0,2317060
2015-04-07,718.5,740.5,718.343017578125,740.5,4644581
2015-04-08,742.0,752.5,732.0,733.0,3718411
2015-04-09,735.0,741.0,717.0,738.5,1988798
2015-04-10,740.5,743.0,732.5,740.5,2099298
2015-04-13,737.0,740.5,716.5,722.0,2010052
2015-04-14,718.0,745.0,717.0,743.0,2240999
2015-04-15,742.0,757.8499755859375,739.5,751.0,1640852
2015-04-16,756.0,758.0,743.0,747.0,2130954
2015-04-17,747.5,749.5,726.0,732.0,2687722
2015-04-20,735.5,749.0,735.0,747.0,2917812
2015-04-21,750.0,750.0,738.0,745.0,2308858
2015-04-22,753.5,755.0,740.0,749.5,3396672
2015-04-23,746.0,787.5,735.5,784.5,4438645
2015-04-24,796.0,805.0,783.0,793.5,3436362
2015-04-27,803.0,809.5,781.5,807.5,3124699
2015-04-28,802.5,808.5,792.5,802.0,2614331
2015-04-29,780.0,790.5,767.5,784.0,4536503
2015-04-30,785.5,789.5,766.5,781.5,2809244
2015-05-01,783.0,800.0,783.0,792.5,1272292
2015-05-05,794.0,811.5,784.0,798.5,3700991
2015-05-06,795.5,805.0,779.0,782.5,2730090
2015-05-07,780.5,798.5,774.5,781.0,3591693
2015-05-08,791.5,794.5,781.5,790.0,3008566
2015-05-11,785.0,802.0,782.0,782.5,2908176
2015-05-12,779.5,793.5,767.0,791.5,4166380
2015-05-13,794.0,805.0,788.5,798.5,1854512
2015-05-14,795.0,805.0,783.5,795.5,1386342
2015-05-15,795.0,802.0,780.0,789.0,2002751
2015-05-18,787.0,802.0,786.0,793.0,1473574
2015-05-19,793.0,794.0,770.5,775.0,2849741
2015-05-20,776.5,785.5,767.5,779.0,3591211
2015-05-21,779.5,794.5,779.5,785.0,1812228
2015-05-22,785.0,792.5,771.5,774.0,2942037
2015-05-26,775.0,779.6400146484375,753.0,755.5,2219984
2015-05-27,754.5,765.5,753.0,761.5,1379145
2015-05-28,759.5,763.14501953125,750.5,756.0,1674216
2015-05-29,757.5,760.5,744.5,746.0,3128602
2015-06-01,748.5,752.0,736.5,743.0,2564439
2015-06-02,744.0,772.5,736.0,766.5,2836151
2015-06-03,765.0,769.0,753.0,760.0,1472045
2015-06-04,763.5,763.5,736.0,741.0,3027401
2015-06-05,735.0,750.0,728.3599853515625,737.0,2686655
2015-06-08,735.0,740.0,725.0,730.0,1564367
2015-06-09,732.0,734.5,721.5,726.5,2192880
2015-06-10,728.0,742.0,727.0,736.0,2292338
2015-06-11,734.5,742.0,720.5,727.5,2937026
2015-06-12,721.5,736.0,721.5,732.0,3018499
2015-06-15,727.0,732.0,723.5,728.0,2239492
2015-06-16,725.0,726.0380249023438,706.5,712.5,2682857
2015-06-17,715.0,717.5,708.5,711.0,2221354
2015-06-18,709.0,725.0,707.5,717.0,2201376
2015-06-19,713.5,719.0,709.0,713.0,2926369
2015-06-22,720.0,721.0,708.5,715.5,1530193
2015-06-23,718.5,727.5,713.0,722.0,1772964
2015-06-24,722.0,727.5,718.5,721.0,1513589
2015-06-25,720.0,723.5,716.5,719.5,1718513
2015-06-26,716.0,723.0,707.0,712.5,1690023
2015-06-29,695.0,711.0,685.5,705.0,1989198
2015-06-30,698.5,701.5,687.5,689.5,3039699
2015-07-01,689.5,691.5,677.5,680.5,3082726
2015-07-02,677.5,689.5,676.5,684.5,2516787
2015-07-03,683.0,685.0,674.6749877929688,682.0,1402038
2015-07-06,671.5,674.0,665.3599853515625,669.0,3066499
2015-07-07,666.5,668.0,641.6729736328125,642.5,4160336
2015-07-08,640.0,652.5,629.0,644.0,3949614
2015-07-09,647.5,657.0,642.0,650.0,3412515
2015-07-10,665.0,666.5,652.0,657.0,2435016
2015-07-13,660.5,668.0,650.0,667.0,4572007
2015-07-14,665.0,667.5,654.5,658.0,1681904
2015-07-15,659.5,667.0,651.0,654.5,4396339
2015-07-16,655.0,662.0,647.5,658.5,1839360
2015-07-17,658.5,658.5,646.5,651.0,2364779
2015-07-20,652.5,652.5,638.0,641.0,2036584
