date,open,high,low,close,volume
2015-01-02,771,771,771,771,0.0
2015-01-05,761,761,761,761,0.0
2015-01-06,758,758,758,758,0.0
2015-01-07,744,744,744,744,0.0
2015-01-08,724,724,724,724,0.0
2015-01-09,709,709,709,709,0.0
2015-01-12,723,723,723,723,0.0
2015-01-13,762,762,762,762,0.0
2015-01-14,757,757,757,757,0.0
2015-01-15,749,749,749,749,0.0
2015-01-16,741,741,741,741,0.0
2015-01-19,739,739,739,739,0.0
2015-01-20,753,753,753,753,0.0
2015-01-21,770,770,770,770,0.0
2015-01-22,751,751,751,751,0.0
2015-01-23,720,720,720,720,0.0
2015-01-26,703,703,703,703,0.0
2015-01-27,688,688,688,688,0.0
2015-01-28,666,666,666,666,0.0
2015-01-29,632,632,632,632,0.0
2015-01-30,608,608,608,608,0.0
2015-02-02,590,590,590,590,0.0
2015-02-03,577,577,577,577,0.0
2015-02-04,569,569,569,569,0.0
2015-02-05,564,564,564,564,0.0
2015-02-06,559,559,559,559,0.0
2015-02-09,554,554,554,554,0.0
2015-02-10,556,556,556,556,0.0
2015-02-11,553,553,553,553,0.0
2015-02-12,540,540,540,540,0.0
2015-02-13,530,530,530,530,0.0
2015-02-16,522,522,522,522,0.0
2015-02-17,516,516,516,516,0.0
2015-02-18,509,509,509,509,0.0
2015-02-19,511,511,511,511,0.0
2015-02-20,513,513,513,513,0.0
2015-02-23,512,512,512,512,0.0
2015-02-24,516,516,516,516,0.0
2015-02-25,524,524,524,524,0.0
2015-02-26,533,533,533,533,0.0
2015-02-27,540,540,540,540,0.0
2015-03-02,548,548,548,548,0.0
2015-03-03,553,553,553,553,0.0
2015-03-04,559,559,559,559,0.0
2015-03-05,561,561,561,561,0.0
2015-03-06,565,565,565,565,0.0
2015-03-09,568,568,568,568,0.0
2015-03-10,568,568,568,568,0.0
2015-03-11,565,565,565,565,0.0
2015-03-12,560,560,560,560,0.0
2015-03-13,562,562,562,562,0.0
2015-03-16,564,564,564,564,0.0
2015-03-17,568,568,568,568,0.0
2015-03-18,571,571,571,571,0.0
2015-03-19,584,584,584,584,0.0
2015-03-20,591,591,591,591,0.0
2015-03-23,594,594,594,594,0.0
2015-03-24,597,597,597,597,0.0
2015-03-25,598,598,598,598,0.0
2015-03-26,598,598,598,598,0.0
2015-03-27,596,596,596,596,0.0
2015-03-30,599,599,599,599,0.0
2015-03-31,602,602,602,602,0.0
2015-04-01,596,596,596,596,0.0
2015-04-02,588,588,588,588,0.0
2015-04-07,583,583,583,583,0.0
2015-04-08,580,580,580,580,0.0
2015-04-09,580,580,580,580,0.0
2015-04-10,580,580,580,580,0.0
2015-04-13,578,578,578,578,0.0
2015-04-14,581,581,581,581,0.0
2015-04-15,586,586,586,586,0.0
2015-04-16,593,593,593,593,0.0
2015-04-17,598,598,598,598,0.0
2015-04-20,598,598,598,598,0.0
2015-04-21,601,601,601,601,0.0
2015-04-22,600,600,600,600,0.0
2015-04-23,599,599,599,599,0.0
2015-04-24,600,600,600,600,0.0
2015-04-27,600,600,600,600,0.0
2015-04-28,601,601,601,601,0.0
2015-04-29,595,595,595,595,0.0
