date,inventory
2015-01-02,23890.0
2015-01-05,23820.0
2015-01-06,23729.0
2015-01-07,23921.0
2015-01-08,24026.0
2015-01-09,23651.0
2015-01-12,23543.0
2015-01-13,23231.0
2015-01-14,22625.0
2015-01-15,22243.0
2015-01-16,21870.0
2015-01-19,21870.0
2015-01-20,21856.0
2015-01-21,20920.0
2015-01-22,20595.0
2015-01-23,20486.0
2015-01-26,20189.0
2015-01-27,19972.0
2015-01-28,19726.0
2015-01-29,19464.0
2015-01-30,19353.0
2015-02-02,19313.0
2015-02-03,19185.0
2015-02-04,18866.0
2015-02-05,18315.0
2015-02-06,17880.0
2015-02-09,17393.0
2015-02-10,17214.0
2015-02-11,16967.0
2015-02-12,16836.0
2015-02-13,16777.0
2015-02-16,16777.0
2015-02-17,16860.0
2015-02-18,16554.0
2015-02-19,16459.0
2015-02-20,16350.0
2015-02-23,16294.0
2015-02-24,16376.0
2015-02-25,16429.0
2015-02-26,16258.0
2015-02-27,16197.0
2015-03-02,16360.0
2015-03-03,16604.0
2015-03-04,17153.0
2015-03-05,17702.0
2015-03-06,18501.0
2015-03-09,19022.0
2015-03-10,19566.0
2015-03-11,20570.0
2015-03-12,21970.0
2015-03-13,22447.0
2015-03-16,22974.0
2015-03-17,23123.0
2015-03-18,23066.0
2015-03-19,22851.0
2015-03-20,22634.0
2015-03-23,22548.0
2015-03-24,22447.0
2015-03-25,22072.0
2015-03-26,21888.0
2015-03-27,22518.0
2015-03-30,24486.0
2015-03-31,24371.0
2015-04-01,24277.0
2015-04-02,24161.0
2015-04-03,24161.0
2015-04-06,24011.0
2015-04-07,23817.0
2015-04-08,23504.0
2015-04-09,23238.0
2015-04-10,23003.0
2015-04-13,22911.0
2015-04-14,22805.0
2015-04-15,22642.0
2015-04-16,22549.0
2015-04-17,22436.0
2015-04-20,22347.0
2015-04-21,22233.0
2015-04-22,22142.0
2015-04-23,22026.0
2015-04-24,21935.0
2015-04-27,21807.0
2015-04-28,21682.0
2015-04-29,21591.0
2015-04-30,21477.0
2015-05-01,21431.0
2015-05-04,21312.0
2015-05-05,21198.0
2015-05-06,21193.0
2015-05-07,21193.0
2015-05-08,21193.0
2015-05-11,21152.0
2015-05-12,21034.0
2015-05-13,20760.0
2015-05-14,20667.0
2015-05-15,20508.0
2015-05-18,20508.0
2015-05-19,20179.0
2015-05-20,20100.0
2015-05-21,20129.0
2015-05-22,20169.0
2015-05-26,20208.0
2015-05-27,20388.0
2015-05-28,20388.0
2015-05-29,20428.0
2015-06-01,20428.0
2015-06-02,20428.0
2015-06-03,20428.0
2015-06-04,20428.0
2015-06-05,20448.0
2015-06-08,20468.0
2015-06-09,21088.0
2015-06-10,21695.0
2015-06-11,22120.0
2015-06-12,22456.0
2015-06-15,22756.0
2015-06-16,22788.0
