date,open,high,low,close,volume
2016-07-18,222.05,224.65,220.3,224.5,0
2016-07-19,224.1,226.65,222.35,225.75,0
2016-07-20,225.9,226.85,222.1,224.4,0
2016-07-21,224.6,227.3,224.5,225.95,0
2016-07-22,226.3,227.05,222.55,223.6,0
2016-07-25,223.6,224.6,220.7,222.75,0
2016-07-26,222.6,223.15,219.9,222.3,0
2016-07-27,222.25,223.45,218.15,219.15,0
2016-07-28,219.0,222.5,218.7,221.5,0
2016-07-29,221.3,223.95,218.95,222.85,0
2016-08-01,223.05,224.75,218.65,219.55,0
2016-08-02,219.25,224.55,219.2,220.65,0
2016-08-03,220.85,221.45,217.2,220.0,0
2016-08-04,219.95,220.4,215.55,217.45,0
2016-08-05,217.4,218.15,215.05,215.9,0
2016-08-08,215.6,218.1,215.35,216.1,0
2016-08-09,216.4,216.5,214.0,215.3,0
2016-08-10,215.0,220.5,214.5,217.35,0
2016-08-11,217.45,219.3,216.9,218.6,0
2016-08-12,218.5,219.45,213.55,213.65,0
2016-08-15,214.0,215.6,213.3,214.9,0
2016-08-16,215.1,217.85,214.35,217.15,0
2016-08-17,217.2,217.5,214.65,215.7,0
2016-08-18,215.75,218.9,215.55,216.75,0
2016-08-19,216.9,217.45,215.8,217.05,0
2016-08-22,217.05,217.45,212.7,214.15,0
2016-08-23,214.3,214.85,211.05,211.45,0
2016-08-24,211.55,212.1,207.55,208.05,0
2016-08-25,207.8,209.1,207.45,207.75,0
2016-08-26,207.65,209.95,207.05,207.85,0
2016-08-29,207.25,208.6,207.2,208.3,0
2016-08-30,208.05,208.9,206.3,206.95,0
2016-08-31,207.05,208.25,206.75,207.05,0
2016-09-01,207.8,209.7,207.4,208.05,0
2016-09-02,208.0,209.35,207.45,207.75,0
2016-09-05,207.45,208.85,207.2,208.25,0
2016-09-06,208.2,209.9,207.9,209.4,0
2016-09-07,209.15,211.2,208.7,209.9,0
2016-09-08,209.6,210.6,208.35,209.9,0
2016-09-09,209.9,210.5,208.55,208.95,0
2016-09-12,209.2,211.0,206.4,210.7,0
2016-09-13,210.1,211.85,209.15,210.3,0
2016-09-14,210.0,216.15,210.0,215.2,0
2016-09-15,215.55,216.55,214.5,216.25,0
2016-09-16,216.0,216.8,214.75,215.9,0
2016-09-19,215.65,215.95,213.9,215.4,0
2016-09-20,215.45,217.25,214.6,216.55,0
2016-09-21,216.6,217.05,215.05,216.5,0
2016-09-22,216.2,220.1,216.05,218.9,0
2016-09-23,218.85,220.65,218.55,220.0,0
2016-09-26,220.25,220.5,218.15,218.95,0
2016-09-27,219.2,219.65,216.1,217.2,0
2016-09-28,217.15,220.4,216.85,220.4,0
2016-09-29,220.25,220.55,218.15,218.85,0
2016-09-30,219.1,221.9,218.05,221.35,0
2016-10-03,221.35,221.6,216.7,219.15,0
2016-10-04,219.2,219.6,216.3,216.95,0
2016-10-05,217.25,218.15,215.85,216.85,0
2016-10-06,216.8,217.15,214.55,215.6,0
2016-10-07,215.45,218.3,214.75,216.7,0
2016-10-10,216.95,220.25,216.45,219.4,0
2016-10-11,219.45,219.95,217.0,218.45,0
2016-10-12,218.8,219.4,217.5,217.5,0
2016-10-13,217.65,218.0,211.65,212.4,0
2016-10-14,212.6,213.2,210.45,210.55,0
2016-10-17,210.6,212.0,210.0,210.4,0
2016-10-18,210.35,212.3,209.15,210.0,0
2016-10-19,209.95,211.1,208.75,210.35,0
2016-10-20,210.25,211.15,208.45,209.5,0
2016-10-21,209.5,210.1,208.6,209.0,0
2016-10-24,208.9,210.35,208.55,209.7,0
2016-10-25,209.55,214.65,209.35,213.4,0
2016-10-26,213.75,214.9,212.65,214.0,0
2016-10-27,214.05,216.7,213.05,216.4,0
2016-10-28,216.55,219.9,215.8,219.75,0
2016-10-31,219.95,221.1,218.15,220.75,0
