date,open,high,low,close,volume
2015-10-21,6829.42,7037.05,6491.44,6599.8,36613315.3
2015-10-22,6521.76,6730.86,6416.81,6683.51,21960342.66
2015-10-23,6676.22,6761.77,6617.55,6735.38,19189743.42
2015-10-26,6823.27,6874.07,6708.51,6770.06,19319566.45
2015-10-27,6716.84,6754.34,6479.47,6718.37,16521006.06
2015-10-28,6682.79,6769.66,6575.06,6591.47,15334543.5
2015-10-29,6635.25,6671.56,6548.32,6612.9,11795276.92
2015-10-30,6594.23,6674.11,6532.8,6589.48,12139489.1
2015-11-02,6500.25,6628.78,6466.79,6491.02,13000556.2
2015-11-03,6496.44,6540.57,6437.53,6466.34,10573522.55
2015-11-04,6485.94,6754.8,6485.94,6754.08,18759356.01
2015-11-05,6753.04,7123.3,6749.9,7000.52,43727889.78
2015-11-06,6945.19,7102.88,6930.62,7079.5,32177455.33
2015-11-09,7010.46,7200.54,7004.84,7120.26,32920974.33
2015-11-10,7038.62,7122.48,7011.78,7077.42,23417588.27
2015-11-11,7077.18,7118.19,7030.23,7105.59,20372869.1
2015-11-12,7099.95,7111.68,6975.73,7027.71,19892698.56
2015-11-13,6954.0,7037.51,6890.2,6906.37,18849548.16
2015-11-16,6785.94,7023.6,6765.21,7022.2,14912340.23
2015-11-17,7080.37,7146.9,6958.05,6966.91,20557248.45
2015-11-18,6968.13,7016.48,6870.97,6885.25,16659850.49
2015-11-19,6906.17,6987.79,6866.52,6987.79,12450124.52
2015-11-20,7013.11,7078.44,6975.48,7026.37,16287981.85
2015-11-23,7037.67,7131.03,6986.23,7019.23,16078217.83
2015-11-24,7013.08,7024.11,6891.55,7005.02,12562644.53
2015-11-25,6995.12,7067.94,6961.81,7067.92,13546456.5
2015-11-26,7106.08,7127.94,7008.1,7022.22,15197939.4
2015-11-27,6994.09,6997.25,6472.87,6522.73,18904580.37
2015-11-30,6518.91,6577.98,6216.19,6475.1,14319716.65
2015-12-01,6482.77,6668.58,6453.72,6591.75,13938476.3
2015-12-02,6579.8,6727.79,6519.73,6719.0,16671926.07
2015-12-03,6692.64,6779.2,6673.0,6762.79,13696856.75
2015-12-04,6740.03,6770.65,6634.47,6672.23,12658805.07
2015-12-07,6668.61,6701.25,6622.61,6682.74,9269983.98
2015-12-08,6647.59,6647.59,6475.13,6481.08,10027591.71
2015-12-09,6465.89,6490.8,6394.88,6429.45,13616098.36
2015-12-10,6405.19,6459.17,6353.29,6380.77,11517021.93
2015-12-11,6357.23,6366.61,6277.84,6318.21,8706388.21
2015-12-14,6261.72,6527.22,6253.68,6526.76,11191041.79
2015-12-15,6533.52,6567.69,6484.96,6499.87,10533469.76
2015-12-16,6527.11,6546.79,6480.21,6495.32,9901774.55
2015-12-17,6531.63,6674.54,6531.63,6647.42,16810456.21
2015-12-18,6664.79,6722.15,6616.85,6642.98,14016022.36
2015-12-21,6640.71,6768.2,6633.12,6747.72,16729079.33
2015-12-22,6780.85,6785.63,6696.78,6772.78,14622235.7
2015-12-23,6786.67,6813.64,6702.64,6713.81,16114734.39
2015-12-24,6702.75,6717.54,6567.02,6623.08,11721302.18
2015-12-25,6634.9,6706.0,6608.79,6681.72,10466231.14
2015-12-28,6699.23,6707.6,6474.29,6475.05,14099798.1
2015-12-29,6471.76,6520.22,6436.13,6520.22,8055642.19
2015-12-30,6541.54,6566.94,6497.54,6553.69,8942200.0
2015-12-31,6554.27,6583.23,6495.65,6495.65,8692553.21
2016-01-04,6495.65,6498.13,5959.72,5964.44,9375907.53
2016-01-05,5764.71,6013.8,5694.18,5897.31,13772200.14
2016-01-06,5918.03,6069.69,5918.03,6069.69,11054045.56
2016-01-07,5986.25,5986.25,5547.07,5567.6,2965962.82
2016-01-08,5712.51,5779.28,5418.63,5674.58,13653615.86
2016-01-11,5586.76,5797.26,5442.42,5450.53,15057980.2
2016-01-12,5488.47,5534.02,5362.21,5486.7,11010249.38
