date,open,high,low,close,volume
2015-01-05,7013.95,7355.76,6924.97,7133.68,19747973.0
2015-01-06,7005.94,7042.13,6685.42,6823.31,12395913.0
2015-01-07,6741.59,6901.88,6714.68,6802.2,8813289.0
2015-01-08,6817.72,6819.24,6494.96,6561.34,9525389.0
2015-01-09,6532.1,6838.79,6456.76,6476.29,12002654.0
2015-01-12,6411.38,6417.18,6206.91,6345.53,8420162.0
2015-01-13,6311.0,6457.69,6292.06,6319.78,6067578.0
2015-01-14,6327.26,6428.89,6273.89,6365.18,5423525.0
2015-01-15,6367.5,6697.81,6367.5,6696.52,8848086.0
2015-01-16,6682.6,6707.51,6527.18,6656.62,8424181.0
2015-01-19,6179.89,6421.61,6044.62,6063.56,11136632.0
2015-01-20,6103.08,6297.55,6060.77,6227.69,10920649.0
2015-01-21,6219.23,6621.86,6146.09,6576.22,13323789.0
2015-01-22,6564.51,6799.32,6542.74,6711.67,10977393.0
2015-01-23,6713.55,6892.32,6597.25,6804.75,12702506.0
2015-01-26,6823.71,6823.71,6669.36,6758.53,7470574.0
2015-01-27,6754.75,6767.31,6362.3,6516.24,9438225.0
2015-01-28,6457.14,6486.94,6335.86,6369.35,6105897.0
2015-01-29,6261.59,6412.18,6241.4,6343.21,5203253.0
2015-01-30,6384.53,6552.24,6261.46,6391.89,7399207.0
2015-02-02,6231.38,6477.39,6167.33,6279.38,6970184.0
2015-02-03,6329.0,6362.51,6092.9,6318.26,8777924.0
2015-02-04,6319.92,6401.38,6240.39,6256.5,5557816.0
2015-02-05,6520.58,6521.23,6208.31,6210.77,10431444.0
2015-02-06,6141.91,6151.63,5901.14,5958.98,8478816.0
2015-02-09,5877.94,5999.7,5807.76,5930.21,5328313.0
2015-02-10,5916.79,6070.76,5898.4,6061.04,4776076.0
2015-02-11,6105.93,6160.44,6050.07,6082.38,3897140.0
2015-02-12,6072.67,6105.42,5991.08,6076.6,3746807.0
2015-02-13,6106.67,6343.86,6056.3,6232.06,7329814.0
2015-02-16,6193.98,6202.13,6113.94,6178.37,5157546.0
2015-02-17,6203.44,6284.57,6192.64,6270.96,4417362.0
2015-02-25,6263.71,6263.71,6089.0,6103.22,4571548.0
2015-02-26,6102.59,6318.78,6094.69,6317.66,6275543.0
2015-02-27,6288.69,6366.64,6246.23,6283.17,4694889.0
2015-03-02,6426.06,6455.05,6240.77,6303.36,10639801.0
2015-03-03,6239.17,6239.17,6007.14,6026.19,9615621.0
2015-03-04,6023.83,6106.43,5967.72,6023.78,6242151.0
2015-03-05,5977.19,5983.29,5832.42,5888.45,6694341.0
2015-03-06,5892.32,5960.51,5859.25,5876.42,4383314.0
2015-03-09,5823.79,6029.49,5700.12,5999.03,7650337.0
2015-03-10,5947.13,5952.62,5893.21,5905.29,4549094.0
2015-03-11,5912.77,5990.39,5863.87,5891.62,4635164.0
2015-03-12,5948.87,6048.42,5891.49,6029.31,6952730.0
2015-03-13,6041.62,6084.51,5983.96,6020.83,5491574.0
2015-03-16,6077.42,6178.76,6042.76,6178.52,8282759.0
2015-03-17,6229.08,6284.46,6193.25,6262.14,9919469.0
2015-03-18,6276.35,6510.29,6276.35,6506.5,11678371.0
2015-03-19,6492.64,6492.64,6361.84,6415.48,8806478.0
2015-03-20,6454.46,6677.75,6397.02,6594.71,14654557.0
2015-03-23,6689.29,6851.46,6671.83,6719.75,13801125.0
2015-03-24,6735.73,6735.75,6469.2,6596.79,11978662.0
2015-03-25,6581.72,6593.65,6434.73,6485.87,9519097.0
2015-03-26,6467.85,6600.98,6406.86,6556.65,8893777.0
2015-03-27,6699.94,6814.83,6592.0,6812.58,14466635.0
2015-03-30,6870.2,7360.97,6788.92,7308.58,22475541.0
2015-03-31,7589.96,7669.2,7082.91,7137.72,25710575.0
2015-04-01,7125.56,7159.82,7011.38,7121.66,13720364.0
2015-04-02,7134.67,7198.6,6974.99,7065.25,12564784.0
2015-04-03,6997.65,7077.44,6946.35,7071.06,10205063.0
2015-04-07,7105.79,7187.17,7034.8,7186.41,13201768.0
2015-04-08,7190.4,7239.78,7012.55,7234.79,16514909.0
2015-04-09,7221.72,7668.12,7095.73,7636.64,23777536.0
2015-04-10,7480.11,7594.97,7406.18,7523.72,16117155.0
2015-04-13,7557.4,7689.17,7479.6,7611.74,14795833.0
2015-04-14,7592.44,7638.7,7452.35,7504.64,11504787.0
2015-04-15,7481.72,7494.73,7284.38,7354.13,10457176.0
2015-04-16,7311.24,7600.36,7278.75,7600.36,12159673.0
2015-04-17,7670.97,7814.33,7551.04,7730.45,17566232.0
2015-04-20,7788.49,7927.31,7505.59,7528.21,18106980.0
2015-04-21,7485.0,7667.31,7447.88,7660.79,11088994.0
2015-04-22,7666.34,7825.28,7643.18,7813.47,13601781.0
2015-04-23,7880.08,7903.46,7689.6,7807.74,14266093.0
2015-04-24,7671.74,7748.44,7541.79,7656.51,11374257.0
2015-04-27,7700.15,7816.55,7631.3,7813.09,14154421.0
2015-04-28,7786.39,7795.64,7628.53,7698.66,13262378.0
2015-04-29,7618.29,7850.15,7576.25,7793.29,11156113.0
2015-04-30,7819.34,8176.33,7795.46,8030.73,17355303.0
2015-05-04,8046.07,8144.69,7946.49,7988.17,13573497.0
2015-05-05,7988.96,7988.96,7487.5,7569.33,11984170.0
2015-05-06,7614.36,7703.17,7407.54,7478.25,9863711.0
2015-05-07,7452.67,7601.02,7412.98,7544.54,8155557.0
2015-05-08,7591.37,7643.31,7434.16,7625.12,8467265.0
2015-05-11,7746.61,7798.42,7629.47,7782.0,14770372.0
2015-05-12,7746.99,7769.73,7673.42,7766.67,11996649.0
2015-05-13,7776.95,8074.55,7629.59,8006.89,16824753.0
2015-05-14,7989.63,8132.31,7804.43,7871.57,14864628.0
2015-05-15,7867.34,7868.46,7604.99,7658.63,10843011.0
2015-05-18,7597.11,7597.11,7474.1,7513.28,8381304.0
2015-05-19,7505.23,7751.96,7498.13,7686.01,8352733.0
2015-05-20,7713.95,7789.54,7639.1,7659.17,9484366.0
2015-05-21,7687.56,7780.88,7597.79,7724.1,9433797.0
2015-05-22,7751.91,7897.1,7705.29,7879.85,12401616.0
2015-05-25,7880.52,8114.88,7857.15,8097.11,14219670.0
2015-05-26,8150.21,8354.83,7995.29,8316.63,17691409.0
2015-05-27,8296.59,8309.7,8140.77,8184.1,12785187.0
2015-05-28,8208.62,8278.08,7602.4,7611.11,15042160.0
2015-05-29,7610.4,7710.04,7297.15,7571.85,10221602.0
2015-06-01,7581.69,7865.34,7541.89,7862.87,10181722.0
2015-06-02,7902.54,7974.16,7826.07,7959.84,10047336.0
2015-06-03,7980.72,8113.74,7862.77,8087.6,13234641.0
2015-06-04,8099.27,8150.23,7617.66,8074.4,13021260.0
2015-06-05,8166.32,8367.15,8087.34,8339.8,18382088.0
2015-06-08,8356.74,8592.65,8268.28,8551.98,19065121.0
2015-06-09,8561.87,8578.76,8327.41,8389.69,13121578.0
2015-06-10,8320.87,8562.06,8261.33,8437.0,11616759.0
2015-06-11,8410.78,8447.66,8295.48,8380.53,9817939.0
2015-06-12,8426.88,8512.33,8411.13,8440.21,12640934.0
2015-06-15,8456.45,8510.47,8271.03,8371.65,15273718.0
2015-06-16,8311.06,8433.6,8123.33,8192.55,12909980.0
2015-06-17,8204.54,8243.13,7871.1,8185.41,10440885.0
2015-06-18,8173.77,8353.32,8022.93,8022.93,11900032.0
2015-06-19,7875.53,7982.84,7520.6,7528.51,9244791.0
2015-06-23,7543.54,7726.29,7184.94,7715.55,9795721.0
2015-06-24,7747.78,7846.27,7581.32,7838.94,9632024.0
2015-06-25,7833.57,8057.78,7639.87,7705.23,11684352.0
2015-06-26,7505.99,7629.2,7032.62,7140.28,10992798.0
2015-06-29,7414.26,7511.05,6691.95,7117.89,16570028.0
2015-06-30,7125.32,7581.96,6872.82,7581.46,15422854.0
2015-07-01,7503.1,7695.93,7231.29,7280.46,12017643.0
2015-07-02,7343.44,7391.14,6777.1,7047.08,12525306.0
2015-07-03,6934.41,7111.65,6520.06,6681.74,14553067.0
2015-07-06,7249.69,7249.69,6615.71,6983.93,20618453.0
2015-07-07,6807.43,7003.38,6604.65,6848.7,19473474.0
2015-07-08,6387.58,6592.71,6308.32,6361.71,17611881.0
2015-07-09,6364.51,6856.45,6213.15,6849.66,14153377.0
2015-07-10,6854.89,7342.55,6845.48,7184.16,19572093.0
2015-07-13,7183.88,7482.93,7070.95,7368.17,15891190.0
2015-07-14,7263.06,7421.72,7140.9,7208.94,11459983.0
2015-07-15,7200.11,7378.36,6927.48,7048.98,13323444.0
2015-07-16,7048.82,7225.79,6892.36,7062.72,8519016.0
2015-07-17,7117.75,7381.37,7089.2,7314.89,9791031.0
2015-07-20,7320.46,7404.82,7175.36,7357.15,10394922.0
2015-07-21,7189.91,7252.56,7109.4,7153.14,7541033.0
2015-07-22,7137.72,7182.22,7003.16,7162.28,8852673.0
2015-07-23,7135.05,7360.45,7111.72,7341.83,10942069.0
2015-07-24,7343.69,7599.0,7313.96,7372.82,15270274.0
2015-07-27,7277.37,7482.15,6771.81,6790.57,12436710.0
2015-07-28,6632.14,7012.81,6534.4,6935.67,11892091.0
2015-07-29,6977.86,7081.12,6841.12,7080.62,7287390.0
2015-07-30,7055.79,7110.48,6798.39,6811.36,6748793.0
2015-07-31,6731.78,6926.48,6698.67,6904.76,6272221.0
2015-08-03,6858.94,7141.7,6825.34,7141.7,8503746.0
2015-08-04,7126.27,7279.13,7019.15,7249.27,6938497.0
2015-08-05,7201.88,7221.44,7028.54,7039.15,5257206.0
