date,open,high,low,close,volume
2015-01-05,1.69,1.98,1.67,1.98,305108.38
2015-01-06,2.13,2.23,2.0,2.07,564957.03
2015-01-07,2.05,2.33,2.0,2.19,415685.62
2015-01-08,2.15,2.2,2.02,2.09,247315.32
2015-01-09,2.05,2.22,2.04,2.07,315784.02
2015-01-12,1.99,2.05,1.91,2.01,206291.34
2015-01-13,2.01,2.05,1.9,1.91,193576.4
2015-01-14,1.93,1.95,1.78,1.83,217685.14
2015-01-15,1.8,1.87,1.76,1.86,187709.68
2015-01-16,1.9,1.98,1.86,1.97,338628.72
2015-01-19,1.79,1.9,1.65,1.74,241504.56
2015-01-20,1.77,1.82,1.72,1.8,145366.49
2015-01-21,1.81,2.1,1.81,2.0,454624.89
2015-01-22,2.01,2.33,1.97,2.33,608139.82
2015-01-23,2.37,2.56,2.33,2.41,687994.4
2015-01-26,2.37,2.52,2.3,2.49,475765.65
2015-01-27,2.45,2.83,2.43,2.68,546382.52
2015-01-28,2.6,2.63,2.5,2.53,281843.12
2015-01-29,2.47,2.51,2.34,2.44,240299.84
2015-01-30,2.44,2.6,2.41,2.45,294558.36
2015-02-02,2.4,2.56,2.32,2.5,196895.21
2015-02-03,2.54,2.57,2.37,2.51,218118.7
2015-02-04,2.49,2.74,2.48,2.68,400083.98
2015-02-05,2.77,2.91,2.54,2.55,330420.35
2015-02-06,2.45,2.54,2.3,2.36,225229.14
2015-02-09,2.36,2.41,2.31,2.34,124628.76
2015-02-10,2.32,2.46,2.31,2.44,118878.85
2015-02-11,2.43,2.49,2.34,2.41,152897.83
2015-02-12,2.42,2.43,2.29,2.35,142242.94
2015-02-13,2.4,2.63,2.38,2.53,287238.2
2015-02-16,2.56,2.6,2.48,2.6,180237.11
2015-02-17,2.59,2.66,2.55,2.56,151159.52
2015-02-25,2.57,2.57,2.44,2.46,140937.02
2015-02-26,2.46,2.83,2.44,2.83,299977.42
2015-02-27,2.85,3.16,2.75,2.96,461119.64
2015-03-02,3.06,3.2,2.95,3.03,405838.43
2015-03-03,2.99,3.23,2.92,2.97,377340.48
2015-03-04,2.94,3.03,2.81,2.94,298982.51
2015-03-05,2.89,3.12,2.86,3.07,283782.18
2015-03-06,3.03,3.35,2.98,3.14,343724.74
2015-03-09,3.1,3.12,2.91,3.09,214229.73
2015-03-10,3.07,3.23,3.04,3.07,174100.63
2015-03-11,3.07,3.18,2.94,3.02,165508.81
2015-03-12,3.02,3.08,2.94,3.03,128768.87
2015-03-13,3.02,3.27,2.97,3.15,184893.37
2015-03-16,3.17,3.33,3.12,3.33,229528.8
2015-03-17,3.34,3.42,3.24,3.28,259421.52
2015-03-18,3.25,3.34,3.24,3.34,217550.18
2015-03-19,3.34,3.47,3.27,3.3,244449.5
2015-03-20,3.3,3.3,3.19,3.28,205280.85
2015-03-23,3.36,3.47,3.28,3.31,254149.17
2015-03-24,3.32,3.39,3.14,3.25,268390.16
2015-03-25,3.21,3.24,3.04,3.09,275913.1
2015-03-26,3.09,3.26,3.0,3.19,291114.23
2015-03-27,3.22,3.26,3.19,3.2,216859.74
2015-03-30,3.21,3.3,3.17,3.28,274583.01
2015-03-31,3.29,3.47,3.26,3.3,369002.7
2015-04-01,3.3,3.39,3.25,3.37,222921.7
2015-04-02,3.4,3.57,3.31,3.55,383982.96
2015-04-03,3.46,3.64,3.44,3.53,278215.08
2015-04-07,3.53,3.69,3.49,3.59,289010.88
2015-04-08,3.59,3.6,3.31,3.37,318306.9
2015-04-09,3.38,3.4,3.05,3.16,233281.55
2015-04-10,3.16,3.28,3.16,3.24,170933.88
2015-04-13,3.24,3.45,3.21,3.43,264635.37
2015-04-14,3.43,3.43,3.26,3.32,219781.81
2015-04-15,3.27,3.34,3.14,3.17,169992.18
2015-04-16,3.1,3.3,3.04,3.22,132308.37
2015-04-17,3.25,3.54,3.23,3.49,405313.1
2015-04-20,3.54,3.6,3.3,3.32,447358.2
2015-04-21,3.32,3.46,3.23,3.45,232709.94
2015-04-22,3.42,3.85,3.4,3.81,506323.59
2015-04-23,3.77,4.31,3.64,4.31,695208.3
2015-04-24,4.31,4.63,4.06,4.41,644027.54
2015-04-27,4.37,4.37,4.14,4.22,396264.36
2015-04-28,4.15,4.18,3.79,3.8,408143.58
2015-04-29,3.99,4.31,3.98,4.31,260046.99
2015-04-30,4.86,4.86,4.25,4.27,690695.39
2015-05-04,4.1,4.14,3.86,4.02,361444.85
2015-05-05,3.96,4.09,3.67,3.7,290793.07
2015-05-06,3.7,3.93,3.6,3.7,210192.08
2015-05-07,3.63,3.84,3.6,3.75,174196.51
2015-05-08,3.79,3.88,3.74,3.88,194983.02
