date,open,high,low,close,volume
2015-01-05,6.95,7.34,6.85,7.16,1380454.75
2015-01-06,7.23,7.73,7.08,7.37,1740637.69
2015-01-07,7.22,7.75,7.13,7.65,1845518.41
2015-01-08,7.57,7.7,7.12,7.13,1419482.2
2015-01-09,7.03,7.12,6.77,6.79,1425975.61
2015-01-12,6.57,6.61,6.25,6.29,1055006.32
2015-01-13,6.29,6.45,6.2,6.29,581241.39
2015-01-14,6.25,6.35,6.2,6.26,434315.36
2015-01-15,6.29,6.48,6.28,6.47,543947.3
2015-01-16,6.63,6.87,6.58,6.74,958886.69
2015-01-19,6.48,6.83,5.98,6.11,1164230.12
2015-01-20,6.15,6.38,6.15,6.29,691922.24
2015-01-21,6.31,6.58,6.23,6.55,786877.99
2015-01-22,6.56,6.6,6.37,6.53,646048.33
2015-01-23,6.59,6.74,6.47,6.58,829621.68
2015-01-26,6.52,6.63,6.5,6.62,506332.53
2015-01-27,6.61,6.7,6.4,6.6,663631.03
2015-01-28,6.51,6.54,6.35,6.38,514285.41
2015-01-29,6.32,6.37,6.17,6.31,510443.53
2015-01-30,6.35,6.43,6.22,6.23,492970.74
2015-02-02,6.15,6.15,5.83,5.85,548303.72
2015-02-03,5.89,6.0,5.81,5.97,432844.09
2015-02-04,6.02,6.03,5.77,5.82,480722.8
2015-02-05,5.94,5.97,5.57,5.58,591106.47
2015-02-06,5.53,5.57,5.3,5.39,581528.5
2015-02-09,5.34,5.47,5.26,5.38,414050.88
2015-02-10,5.39,5.48,5.34,5.45,434742.09
2015-02-11,5.48,5.58,5.43,5.57,340784.99
2015-02-12,5.57,5.64,5.49,5.57,254906.6
2015-02-13,5.59,5.75,5.59,5.65,383017.56
2015-02-16,5.65,5.73,5.64,5.7,254922.14
2015-02-17,5.75,5.77,5.68,5.71,285499.85
2015-02-25,5.75,5.76,5.62,5.71,299406.87
2015-02-26,5.69,6.35,5.67,6.18,942654.93
2015-02-27,6.18,6.24,6.08,6.15,502546.64
2015-03-02,6.26,6.27,6.1,6.23,511362.72
2015-03-03,6.22,6.26,6.07,6.1,585541.62
2015-03-04,6.15,6.2,6.04,6.13,333467.94
2015-03-05,6.09,6.12,5.87,5.98,432922.97
2015-03-06,6.0,6.03,5.9,5.92,291344.24
2015-03-09,5.88,6.0,5.77,5.97,375575.59
2015-03-10,5.94,6.06,5.93,5.97,318033.52
2015-03-11,5.99,6.09,5.98,6.02,324443.97
2015-03-12,6.05,6.07,5.99,6.06,347945.25
2015-03-13,6.09,6.21,6.09,6.12,401027.46
2015-03-16,6.17,6.21,6.11,6.2,505485.33
2015-03-17,6.25,6.57,6.21,6.42,1019172.0
2015-03-18,6.44,6.56,6.38,6.55,805016.82
2015-03-19,6.59,6.88,6.48,6.76,1258100.72
2015-03-20,6.92,7.06,6.75,6.82,1131505.31
2015-03-23,6.79,7.01,6.77,6.97,1043053.46
2015-03-24,6.98,7.01,6.6,6.79,1150323.77
2015-03-25,6.78,6.78,6.54,6.61,806576.43
2015-03-26,6.57,6.98,6.47,6.77,1039833.6
2015-03-27,6.77,6.96,6.69,6.86,925249.89
2015-03-30,6.96,7.48,6.96,7.39,1910480.93
2015-03-31,7.39,7.53,7.17,7.26,1394543.62
2015-04-01,7.26,8.06,7.19,7.81,2123602.95
2015-04-02,7.87,7.88,7.49,7.77,1729131.89
2015-04-03,7.67,7.77,7.48,7.63,998434.6
2015-04-07,7.64,7.71,7.57,7.67,1041648.57
2015-04-08,7.67,7.86,7.57,7.7,1315962.16
2015-04-09,7.68,7.68,7.1,7.23,1269625.39
2015-04-10,7.23,7.5,7.17,7.4,747602.96
2015-04-13,7.4,7.55,7.38,7.46,885174.52
2015-04-14,7.47,8.01,7.41,7.93,1907344.75
2015-04-15,7.95,8.36,7.6,8.07,2212530.5
2015-04-16,7.8,8.92,7.8,8.75,2419061.47
2015-04-17,8.82,9.36,8.79,8.95,2571231.72
2015-04-20,8.92,9.93,8.45,9.91,3142510.18
2015-04-21,9.87,10.45,9.57,9.81,2234547.03
2015-04-22,9.82,10.87,9.82,10.87,1409864.08
2015-04-23,11.16,12.03,10.97,11.45,2845491.13
2015-04-24,10.97,11.68,10.67,11.24,1796505.85
2015-04-27,11.24,11.82,11.06,11.78,2394027.7
2015-04-28,11.8,12.13,11.17,11.22,1965361.14
2015-04-29,10.87,10.97,10.28,10.61,1394387.15
2015-04-30,10.63,11.12,10.63,10.73,1245420.46
2015-05-04,10.57,11.12,10.19,10.73,1190298.53
2015-05-05,10.76,10.86,9.73,9.83,1227074.83
2015-05-06,9.83,10.05,9.09,9.28,1050322.07
2015-05-07,9.29,9.47,8.85,8.88,978794.13
2015-05-08,9.02,9.21,8.85,9.16,841450.91
2015-05-11,9.35,9.85,9.1,9.84,1091069.87
2015-05-12,9.94,10.91,9.86,10.91,1839321.57
2015-05-13,11.17,11.37,10.36,10.51,2192578.14
2015-05-14,10.43,11.17,10.19,10.69,1340609.14
2015-05-15,10.47,10.57,10.07,10.16,1011484.37
2015-05-18,10.12,10.51,9.95,10.03,891703.27
2015-05-19,9.83,10.82,9.78,10.74,1397498.35
2015-05-20,10.77,11.07,10.55,10.71,1529215.2
2015-05-21,10.77,10.95,10.52,10.93,1267230.93
2015-05-22,10.99,11.35,10.78,11.18,1750776.86
2015-05-25,11.18,11.66,11.12,11.58,1796673.81
2015-05-26,11.67,12.05,11.3,11.67,1963819.25
2015-05-27,11.63,11.67,11.05,11.13,1986298.06
2015-05-28,11.07,11.36,9.98,10.0,1569333.75
2015-05-29,10.0,10.26,9.12,9.79,1158513.74
2015-06-01,9.82,10.75,9.82,10.63,1024259.07
2015-06-02,10.67,11.15,10.57,10.95,1064486.28
2015-06-03,10.95,11.05,10.64,10.85,934483.2
2015-06-04,11.24,12.02,10.38,12.02,2673563.83
2015-06-05,12.67,13.31,12.17,13.31,4682831.2
