date,open,high,low,close,volume
2015-01-01,90.26,90.3,90.26,90.29,0.0
2015-01-02,90.29,91.12,90.24,91.11,0.0
2015-01-05,91.14,91.78,91.11,91.39,0.0
2015-01-06,91.39,91.68,91.12,91.57,0.0
2015-01-07,91.57,92.26,91.56,92.02,0.0
2015-01-08,92.01,92.53,91.89,92.34,0.0
2015-01-09,92.33,92.5,91.89,91.94,0.0
2015-01-12,91.87,92.34,91.72,91.99,0.0
2015-01-13,92.0,92.43,91.81,92.26,0.0
2015-01-14,92.26,92.42,91.61,92.07,0.0
2015-01-15,92.07,92.75,91.51,92.27,0.0
2015-01-16,92.3,93.26,92.08,92.63,0.0
2015-01-19,92.62,92.74,92.33,92.54,0.0
2015-01-20,92.55,93.1,92.53,93.01,0.0
2015-01-21,93.02,93.09,92.15,92.86,0.0
2015-01-22,92.87,94.27,92.48,94.23,0.0
2015-01-23,94.25,95.48,94.08,94.98,0.0
2015-01-26,95.2,95.53,94.59,94.81,0.0
2015-01-27,94.83,95.01,93.7,94.0,0.0
2015-01-28,94.0,94.64,93.97,94.58,0.0
2015-01-29,94.59,95.01,94.33,94.68,0.0
2015-01-30,94.69,94.92,94.43,94.74,0.0
2015-02-02,94.81,94.88,94.37,94.6,0.0
2015-02-03,94.6,94.7,93.25,93.61,0.0
2015-02-04,93.62,94.19,93.58,94.13,0.0
2015-02-05,94.11,94.6,93.42,93.49,0.0
2015-02-06,93.5,94.76,93.49,94.65,0.0
2015-02-09,94.62,94.89,94.36,94.56,0.0
2015-02-10,94.56,94.88,94.4,94.71,0.0
2015-02-11,94.72,95.11,94.64,95.03,0.0
2015-02-12,95.03,95.05,93.98,94.11,0.0
2015-02-13,94.11,94.31,93.9,94.13,0.0
2015-02-16,93.96,94.54,93.9,94.39,0.0
2015-02-17,94.38,94.51,93.8,94.03,0.0
2015-02-18,94.04,94.53,93.99,94.07,0.0
2015-02-19,94.07,94.45,93.83,94.43,0.0
2015-02-20,94.44,94.79,94.05,94.35,0.0
2015-02-23,94.26,94.92,94.16,94.57,0.0
2015-02-24,94.57,94.99,94.43,94.45,0.0
2015-02-25,94.44,94.51,94.13,94.19,0.0
2015-02-26,94.2,95.36,94.06,95.3,0.0
2015-02-27,95.3,95.36,94.9,95.29,0.0
2015-03-02,95.36,95.51,95.06,95.47,0.0
2015-03-03,95.48,95.57,95.1,95.4,0.0
2015-03-04,95.41,96.06,95.32,95.95,0.0
2015-03-05,95.96,96.59,95.86,96.38,0.0
2015-03-06,96.37,97.73,96.17,97.64,0.0
2015-03-09,97.75,97.83,97.29,97.64,0.0
2015-03-10,97.64,98.67,97.59,98.63,0.0
2015-03-11,98.63,99.99,98.49,99.71,0.0
2015-03-12,99.71,100.06,98.65,99.15,0.0
2015-03-13,99.17,100.39,99.16,100.19,0.0
2015-03-16,100.29,100.42,99.32,99.67,0.0
2015-03-17,99.69,99.83,99.23,99.61,0.0
2015-03-18,99.61,99.8,96.63,97.54,0.0
2015-03-19,97.53,99.46,97.21,99.09,0.0
2015-03-20,99.09,99.15,97.45,97.81,0.0
2015-03-23,97.74,98.24,96.83,97.02,0.0
2015-03-24,97.02,97.38,96.39,97.14,0.0
2015-03-25,97.15,97.32,96.54,96.88,0.0
2015-03-26,96.89,97.55,96.17,97.35,0.0
2015-03-27,97.32,97.92,96.99,97.37,0.0
2015-03-30,97.41,98.07,97.34,97.89,0.0
2015-03-31,97.91,98.67,97.83,98.47,0.0
2015-04-01,98.47,98.64,97.98,98.22,0.0
2015-04-02,98.21,98.28,97.33,97.5,0.0
2015-04-03,97.51,97.61,96.39,96.75,0.0
2015-04-06,96.8,97.24,96.33,97.15,0.0
2015-04-07,97.15,98.02,96.93,97.94,0.0
2015-04-08,97.93,98.2,97.25,98.07,0.0
2015-04-09,98.08,99.18,97.94,99.0,0.0
2015-04-10,99.01,99.69,98.84,99.35,0.0
2015-04-13,99.35,99.99,99.23,99.51,0.0
2015-04-14,99.52,99.7,98.37,98.75,0.0
2015-04-15,98.78,99.36,98.22,98.33,0.0
2015-04-16,98.34,98.72,97.28,97.67,0.0
2015-04-17,97.67,97.82,97.0,97.46,0.0
2015-04-20,97.33,98.07,97.32,97.91,0.0
2015-04-21,97.91,98.46,97.64,97.97,0.0
2015-04-22,97.97,98.12,97.43,98.03,0.0
2015-04-23,98.04,98.43,97.14,97.28,0.0
2015-04-24,97.29,97.56,96.75,96.9,0.0
2015-04-27,96.9,97.27,96.47,96.7,0.0
2015-04-28,96.71,97.18,96.01,96.07,0.0
2015-04-29,96.06,96.18,94.68,95.1,0.0
2015-04-30,95.12,95.45,94.4,94.77,0.0
2015-05-01,94.76,95.4,94.5,95.25,0.0
2015-05-04,95.22,95.64,95.04,95.43,0.0
2015-05-05,95.44,95.95,94.88,95.12,0.0
2015-05-06,95.12,95.68,93.88,94.1,0.0
2015-05-07,94.11,94.82,93.89,94.64,0.0
2015-05-08,94.64,95.07,94.32,94.77,0.0
2015-05-11,94.82,95.26,94.76,95.02,0.0
2015-05-12,95.02,95.16,94.24,94.58,0.0
2015-05-13,94.59,94.62,93.46,93.64,0.0
2015-05-14,93.65,93.76,93.13,93.37,0.0
2015-05-15,93.37,94.03,93.14,93.26,0.0
2015-05-18,93.25,94.27,93.22,94.17,0.0
2015-05-19,94.17,95.47,94.08,95.3,0.0
2015-05-20,95.29,95.84,95.26,95.6,0.0
2015-05-21,95.6,95.65,94.97,95.37,0.0
2015-05-22,95.38,96.27,94.82,96.14,0.0
2015-05-25,96.2,96.47,96.17,96.4,0.0
2015-05-26,96.4,97.36,96.34,97.31,0.0
2015-05-27,97.29,97.78,96.89,97.22,0.0
2015-05-28,97.24,97.63,96.95,97.02,0.0
2015-05-29,97.02,97.4,96.75,96.85,0.0
2015-06-01,96.88,97.68,96.86,97.42,0.0
2015-06-02,97.46,97.53,95.67,95.91,0.0
2015-06-03,95.93,96.51,95.21,95.28,0.0
2015-06-04,95.29,95.57,94.65,95.49,0.0
2015-06-05,95.5,96.91,95.36,96.33,0.0
2015-06-08,96.34,96.55,95.05,95.19,0.0
2015-06-09,95.18,95.58,94.85,95.14,0.0
2015-06-10,95.14,95.23,94.32,94.6,0.0
2015-06-11,94.6,95.6,94.56,95.01,0.0
2015-06-12,95.0,95.68,94.69,94.9,0.0
2015-06-15,95.12,95.39,94.73,94.81,0.0
2015-06-16,94.82,95.23,94.56,94.93,0.0
2015-06-17,94.94,95.18,94.11,94.27,0.0
2015-06-18,94.25,94.96,93.56,94.08,0.0
2015-06-19,94.06,94.5,93.9,94.11,0.0
2015-06-22,94.03,94.45,93.81,94.31,0.0
2015-06-23,94.33,95.64,94.29,95.39,0.0
2015-06-24,95.4,95.54,94.93,95.25,0.0
2015-06-25,95.25,95.51,95.09,95.17,0.0
2015-06-26,95.17,95.67,95.08,95.42,0.0
2015-06-29,95.92,96.42,94.68,94.9,0.0
2015-06-30,94.9,95.68,94.85,95.54,0.0
2015-07-01,95.52,96.35,95.47,96.25,0.0
2015-07-02,96.28,96.42,95.87,96.09,0.0
2015-07-03,96.09,96.22,95.87,95.96,0.0
2015-07-06,96.69,96.69,96.01,96.25,0.0
2015-07-07,96.26,97.24,96.23,96.65,0.0
2015-07-08,96.64,96.88,96.12,96.2,0.0
2015-07-09,96.21,96.75,95.97,96.47,0.0
2015-07-10,96.45,96.61,95.45,95.82,0.0
2015-07-13,96.1,96.86,95.63,96.82,0.0
2015-07-14,96.8,97.05,96.26,96.62,0.0
2015-07-15,96.64,97.31,96.53,97.15,0.0
2015-07-16,97.14,97.75,97.08,97.65,0.0
2015-07-17,97.65,97.98,97.42,97.96,0.0
2015-07-20,97.94,98.15,97.74,98.04,0.0
2015-07-21,98.03,98.15,97.14,97.33,0.0
2015-07-22,97.36,97.79,97.11,97.41,0.0
2015-07-23,97.42,97.6,96.89,97.22,0.0
2015-07-24,97.21,97.62,97.11,97.25,0.0
2015-07-27,97.24,97.3,96.29,96.54,0.0
2015-07-28,96.54,96.97,96.47,96.65,0.0
2015-07-29,96.65,97.25,96.5,97.14,0.0
2015-07-30,97.15,97.77,96.98,97.47,0.0
2015-07-31,97.47,97.6,96.31,97.21,0.0
2015-08-03,97.23,97.58,97.15,97.5,0.0
2015-08-04,97.5,98.0,97.21,97.99,0.0
2015-08-05,97.98,98.22,97.64,97.88,0.0
2015-08-06,97.86,98.16,97.63,97.82,0.0
2015-08-07,97.82,98.33,97.51,97.61,0.0
2015-08-10,97.58,97.92,97.04,97.17,0.0
2015-08-11,97.16,97.59,96.88,97.2,0.0
2015-08-12,97.2,97.33,95.93,96.32,0.0
2015-08-13,96.32,97.4,96.12,96.38,0.0
2015-08-14,96.39,96.68,96.09,96.58,0.0
2015-08-17,96.59,96.94,96.51,96.82,0.0
2015-08-18,96.82,97.07,96.68,97.02,0.0
2015-08-19,97.0,97.08,96.34,96.45,0.0
2015-08-20,96.45,96.58,95.72,95.75,0.0
2015-08-21,95.75,95.83,94.81,94.84,0.0
2015-08-24,94.8,94.97,92.62,93.26,0.0
2015-08-25,93.24,94.69,93.23,93.97,0.0
2015-08-26,93.95,95.44,93.71,95.29,0.0
2015-08-27,95.32,96.03,94.99,95.76,0.0
2015-08-28,95.75,96.32,95.38,96.14,0.0
2015-08-31,96.16,96.25,95.62,95.94,0.0
2015-09-01,95.96,95.99,95.19,95.31,0.0
2015-09-02,95.27,95.95,95.26,95.9,0.0
2015-09-03,95.9,96.62,95.79,96.36,0.0
2015-09-04,96.4,96.58,95.97,96.26,0.0
2015-09-07,96.23,96.42,96.04,96.13,0.0
2015-09-08,96.15,96.24,95.73,95.87,0.0
2015-09-09,95.89,96.41,95.8,95.96,0.0
2015-09-10,95.95,96.19,95.4,95.53,0.0
2015-09-11,95.53,95.69,95.11,95.19,0.0
2015-09-14,95.19,95.45,94.91,95.25,0.0
2015-09-15,95.23,95.68,95.12,95.6,0.0
2015-09-16,95.61,95.85,95.16,95.31,0.0
2015-09-17,95.32,95.39,94.36,94.42,0.0
2015-09-18,94.41,95.38,94.06,95.21,0.0
2015-09-21,95.15,95.98,95.04,95.92,0.0
2015-09-22,95.92,96.4,95.76,96.34,0.0
2015-09-23,96.36,96.55,96.02,96.21,0.0
2015-09-24,96.21,96.3,95.46,95.9,0.0
2015-09-25,95.94,96.7,95.92,96.22,0.0
2015-09-28,96.24,96.5,95.9,95.97,0.0
2015-09-29,95.97,96.24,95.71,95.92,0.0
2015-09-30,95.92,96.41,95.85,96.24,0.0
2015-10-01,96.24,96.49,95.97,96.13,0.0
2015-10-02,96.14,96.38,95.22,95.91,0.0
2015-10-05,95.92,96.17,95.45,96.07,0.0
2015-10-06,96.08,96.16,95.4,95.46,0.0
2015-10-07,95.46,95.7,95.33,95.58,0.0
2015-10-08,95.6,95.61,94.98,95.3,0.0
2015-10-09,95.31,95.52,94.69,94.88,0.0
2015-10-12,94.89,94.89,94.62,94.86,0.0
2015-10-13,94.87,94.98,94.54,94.8,0.0
2015-10-14,94.8,94.81,93.85,93.97,0.0
2015-10-15,93.97,94.59,93.81,94.43,0.0
2015-10-16,94.4,94.77,94.35,94.73,0.0
2015-10-19,94.73,95.0,94.55,94.91,0.0
2015-10-20,94.94,94.95,94.59,94.86,0.0
2015-10-21,94.85,95.06,94.72,95.05,0.0
2015-10-22,95.05,96.42,94.94,96.36,0.0
2015-10-23,96.37,97.2,96.15,97.05,0.0
2015-10-26,97.19,97.19,95.06,96.78,0.0
2015-10-27,96.81,96.97,96.58,96.9,0.0
2015-10-28,96.93,97.82,96.47,97.63,0.0
2015-10-29,97.63,97.69,97.24,97.27,0.0
2015-10-30,97.29,97.35,96.58,96.92,0.0
2015-11-02,96.76,96.96,96.64,96.9,0.0
2015-11-03,96.91,97.48,96.77,97.18,0.0
2015-11-04,97.18,98.05,97.15,97.93,0.0
2015-11-05,97.93,98.14,97.75,98.01,0.0
2015-11-06,98.01,99.35,97.29,99.15,0.0
2015-11-09,99.19,99.32,98.82,98.99,0.0
2015-11-10,99.01,99.5,98.93,99.22,0.0
2015-11-11,99.22,99.29,98.78,98.95,0.0
2015-11-12,98.96,99.29,98.43,98.55,0.0
2015-11-13,98.52,99.21,98.45,98.93,0.0
2015-11-16,98.8,99.46,98.8,99.38,0.0
2015-11-17,99.39,99.75,99.34,99.62,0.0
2015-11-18,99.62,99.85,99.31,99.61,0.0
2015-11-19,99.59,99.65,98.74,98.99,0.0
2015-11-20,98.98,99.63,98.92,99.61,0.0
2015-11-23,99.6,100.0,99.53,99.8,0.0
2015-11-24,99.79,99.81,99.47,99.61,0.0
2015-11-25,99.61,100.17,99.31,99.79,0.0
2015-11-26,99.8,99.91,99.69,99.85,0.0
2015-11-27,99.84,100.2,99.66,100.08,0.0
2015-11-30,100.1,100.31,100.05,100.21,0.0
2015-12-01,100.23,100.26,99.72,99.79,0.0
2015-12-02,99.8,100.51,99.73,100.0,0.0
2015-12-03,100.0,100.47,97.59,97.78,0.0
2015-12-04,97.78,98.61,97.71,98.34,0.0
2015-12-07,98.35,98.9,98.26,98.67,0.0
2015-12-08,98.68,98.78,98.36,98.42,0.0
2015-12-09,98.42,98.52,97.22,97.39,0.0
2015-12-10,97.38,97.99,97.31,97.89,0.0
2015-12-11,97.91,98.1,97.33,97.6,0.0
2015-12-14,97.67,97.93,97.28,97.7,0.0
2015-12-15,97.7,98.29,97.19,98.21,0.0
2015-12-16,98.22,98.56,97.65,98.33,0.0
2015-12-17,98.33,99.29,98.32,99.15,0.0
2015-12-18,99.16,99.18,98.64,98.68,0.0
2015-12-21,98.68,98.84,98.29,98.42,0.0
2015-12-22,98.39,98.51,98.0,98.24,0.0
2015-12-23,98.23,98.6,98.16,98.27,0.0
2015-12-24,98.29,98.4,97.86,97.89,0.0
2015-12-25,97.89,98.02,97.83,97.85,0.0
2015-12-28,97.96,98.03,97.81,97.95,0.0
2015-12-29,97.94,98.41,97.8,98.16,0.0
2015-12-30,98.16,98.41,98.1,98.22,0.0
2015-12-31,98.22,98.75,98.18,98.63,0.0
2016-01-01,98.63,98.78,98.6,98.69,0.0
2016-01-04,98.66,99.18,98.05,98.85,0.0
2016-01-05,98.85,99.63,98.75,99.36,0.0
2016-01-06,99.36,99.58,99.11,99.19,0.0
2016-01-07,99.18,99.3,98.17,98.22,0.0
2016-01-08,98.21,99.18,98.18,98.42,0.0
2016-01-11,98.43,98.89,98.08,98.88,0.0
2016-01-12,98.88,99.28,98.57,98.96,0.0
2016-01-13,98.98,99.33,98.88,98.89,0.0
2016-01-14,98.89,99.26,98.59,99.06,0.0
2016-01-15,99.07,99.12,98.38,98.91,0.0
2016-01-18,98.86,99.2,98.79,99.05,0.0
2016-01-19,99.04,99.31,98.86,99.07,0.0
2016-01-20,99.07,99.18,98.63,99.09,0.0
2016-01-21,99.08,99.8,98.91,98.97,0.0
2016-01-22,98.98,99.59,98.98,99.55,0.0
2016-01-25,99.5,99.59,99.23,99.25,0.0
2016-01-26,99.25,99.46,99.03,99.04,0.0
