date,open,high,low,close,volume
2015-01-02,68.39,68.57,66.99,67.93,1638104.0
2015-01-05,67.11,67.14,64.94,65.12,3202221.0
2015-01-06,65.09,65.25,63.57,64.39,3241303.0
2015-01-07,65.31,65.57,64.35,64.58,3120849.0
2015-01-08,65.2,66.92,65.2,66.89,3383129.0
2015-01-09,67.09,67.24,65.85,66.06,2802495.0
2015-01-12,65.95,66.2,64.93,65.48,2835058.0
2015-01-13,65.75,66.59,64.64,65.46,3565102.0
2015-01-14,64.01,64.58,63.31,64.24,2393469.0
2015-01-15,64.53,64.66,63.58,64.07,3628464.0
2015-01-16,63.65,64.64,63.62,64.59,3480383.0
2015-01-20,64.89,64.97,64.25,64.8,3265153.0
2015-01-21,64.35,65.62,64.23,65.34,794757.0
2015-01-22,66.6,67.91,66.14,67.68,3455195.0
2015-01-23,67.73,67.73,66.72,67.01,2355732.0
2015-01-26,66.72,67.12,66.07,66.82,1950030.0
2015-01-27,65.4,65.81,64.69,65.02,3767857.0
2015-01-28,65.34,65.51,63.52,63.61,3185185.0
2015-01-29,63.44,64.35,62.8,64.19,3349586.0
2015-01-30,63.53,64.1,63.07,63.09,3888090.0
2015-02-02,63.62,64.91,62.84,64.4,4102867.0
2015-02-03,67.89,70.33,67.42,69.79,7267599.0
2015-02-04,69.38,69.49,68.17,68.48,4288516.0
2015-02-05,68.73,69.58,68.73,69.22,2544517.0
2015-02-06,69.49,70.87,69.49,70.05,3253300.0
2015-02-09,69.55,70.72,69.54,70.14,2074387.0
2015-02-10,70.9,70.93,69.65,70.74,1969769.0
2015-02-11,70.36,70.74,69.95,70.33,2024636.0
2015-02-12,70.79,71.85,70.35,71.65,2694624.0
2015-02-13,71.63,72.71,71.45,72.55,3118339.0
2015-02-17,72.37,72.37,71.53,72.13,1975393.0
2015-02-18,72.08,72.77,71.73,72.29,1655742.0
2015-02-19,71.81,72.54,71.5,72.12,1380355.0
2015-02-20,72.13,72.59,71.3,72.51,1775998.0
2015-02-23,72.17,72.45,71.51,71.64,1996128.0
2015-02-24,71.59,72.0,71.47,71.72,2027486.0
2015-02-25,71.87,72.0,70.85,71.55,2566163.0
2015-02-26,71.53,71.97,71.31,71.79,1904992.0
2015-02-27,71.19,71.51,70.76,71.01,2433014.0
2015-03-02,71.01,71.49,70.73,71.0,2196865.0
2015-03-03,70.47,70.98,70.18,70.44,2235669.0
2015-03-04,70.23,70.32,69.15,69.65,2171042.0
2015-03-05,69.3,69.46,68.82,69.35,1731272.0
2015-03-06,68.68,69.21,67.98,68.17,1950557.0
2015-03-09,68.23,68.65,68.02,68.5,1624643.0
2015-03-10,67.77,67.84,67.16,67.16,1985637.0
2015-03-11,67.32,67.36,66.47,66.57,1872833.0
2015-03-12,66.86,67.28,66.64,67.25,2296436.0
2015-03-13,67.0,67.25,66.04,66.64,2498856.0
2015-03-16,68.12,68.23,66.89,67.79,3185771.0
2015-03-17,67.49,67.85,67.13,67.68,2215408.0
2015-03-18,67.35,68.72,66.73,68.52,3466340.0
2015-03-19,68.1,68.2,67.26,67.58,2029133.0
2015-03-20,68.03,68.65,67.91,68.48,4249802.0
2015-03-23,68.46,68.7,67.81,68.06,2285353.0
2015-03-24,68.03,68.36,67.48,67.87,2144850.0
2015-03-25,67.92,68.19,66.81,66.81,2191237.0
2015-03-26,66.5,66.97,66.23,66.67,1981312.0
2015-03-27,66.95,66.95,66.32,66.7,1381158.0
2015-03-30,67.0,68.11,67.0,67.82,1381121.0
2015-03-31,67.28,68.08,67.05,67.94,3180805.0
2015-04-01,67.95,67.97,67.1,67.58,2927806.0
2015-04-02,67.38,68.3,66.98,67.68,1985369.0
2015-04-06,67.02,69.36,66.95,68.94,2186467.0
2015-04-07,68.57,69.08,68.35,68.56,1761878.0
2015-04-08,68.21,68.5,67.79,68.15,1965822.0
2015-04-09,68.13,68.71,67.65,68.55,2396539.0
2015-04-10,68.52,68.97,68.09,68.69,2528897.0
2015-04-13,68.78,68.78,68.03,68.34,1818243.0
2015-04-14,68.01,68.87,67.76,68.66,2464421.0
2015-04-15,69.0,70.0,68.6,69.74,2984429.0
2015-04-16,69.72,69.72,69.03,69.43,1645851.0
2015-04-17,68.94,69.11,68.3,69.11,2898818.0
2015-04-20,69.42,69.81,69.27,69.81,2083339.0
2015-04-21,70.0,70.25,69.04,69.35,2352532.0
2015-04-22,69.44,69.54,68.69,69.28,2344589.0
2015-04-23,69.12,69.43,68.8,69.1,2066273.0
2015-04-24,69.36,69.36,68.42,68.58,2079191.0
2015-04-27,68.68,69.62,68.68,69.38,3054761.0
2015-04-28,68.83,69.0,68.12,68.61,4884486.0
2015-04-29,69.38,70.38,68.37,69.54,4259897.0
2015-04-30,68.41,69.41,68.25,68.73,3466875.0
2015-05-01,69.27,70.57,68.95,70.52,3427570.0
2015-05-04,70.55,70.98,70.29,70.8,2789505.0
2015-05-05,71.01,72.76,70.99,71.41,4421996.0
2015-05-06,71.84,71.97,71.11,71.56,2973338.0
2015-05-07,71.58,71.58,70.83,71.25,2412663.0
