date,open,high,low,close,volume
2020-06-10,4.5,4.58,4.47,4.52,212729.0
2020-06-11,4.26,4.29,4.06,4.076,330662.0
2020-06-12,4.32,4.36,4.2,4.25,330176.0
2020-06-15,4.07,4.27,4.042,4.23,159873.0
2020-06-16,4.38,4.39,4.19,4.26,1010476.0
2020-06-17,4.3,4.31,4.23,4.265,397116.0
2020-06-18,4.17,4.24,4.15,4.19,467399.0
2020-06-19,4.24,4.27,4.05,4.08,347207.0
2020-06-22,4.07,4.12,4.04,4.08,308306.0
2020-06-23,4.23,4.27,4.21,4.232,306174.0
2020-06-24,4.155,4.17,4.06,4.095,121772.0
2020-06-25,4.09,4.18,4.06,4.18,152620.0
2020-06-26,4.17,4.18,4.05,4.06,108074.0
2020-06-29,4.13,4.15,4.09,4.1,162434.0
2020-06-30,4.08,4.22,4.08,4.207,115939.0
2020-07-01,4.18,4.18,4.117,4.16,225937.0
2020-07-02,4.26,4.34,4.21,4.24,174755.0
2020-07-06,4.28,4.33,4.27,4.33,199288.0
2020-07-07,4.32,4.36,4.3,4.31,85673.0
2020-07-08,4.33,4.35,4.28,4.35,201341.0
2020-07-09,4.38,4.43,4.307,4.36,220849.0
2020-07-10,4.39,4.41,4.355,4.41,200761.0
2020-07-13,4.45,4.48,4.315,4.32,3818625.0
2020-07-14,4.33,4.5,4.32,4.49,108841.0
2020-07-15,4.61,4.63,4.51,4.55,302089.0
2020-07-16,4.51,4.56,4.5,4.53,206655.0
2020-07-17,4.56,4.59,4.5235,4.59,185476.0
2020-07-20,4.53,4.61,4.53,4.6,138902.0
2020-07-21,4.6,4.64,4.575,4.6,183918.0
2020-07-22,4.48,4.52,4.46,4.51,175278.0
2020-07-23,4.62,4.63,4.55,4.57,253675.0
2020-07-24,4.59,4.65,4.56,4.6205,133184.0
2020-07-27,4.69,4.77,4.69,4.72,214571.0
2020-07-28,4.67,4.7,4.63,4.67,161608.0
2020-07-29,4.7,4.75,4.66,4.72,79696.0
2020-07-30,4.56,4.64,4.495,4.61,130105.0
2020-07-31,4.61,4.63,4.48,4.56,387382.0
2020-08-03,4.61,4.67,4.57,4.67,205957.0
2020-08-04,4.64,4.73,4.64,4.71,142400.0
2020-08-05,4.9,5.09,4.88,5.05,585323.0
2020-08-06,4.75,4.77,4.68,4.714,252122.0
2020-08-07,4.53,4.5431,4.47,4.51,259247.0
2020-08-10,4.44,4.47,4.42,4.47,145621.0
2020-08-11,4.57,4.63,4.55,4.56,224816.0
2020-08-12,4.62,4.66,4.58,4.59,49732.0
2020-08-13,4.56,4.59,4.5,4.53,137667.0
2020-08-14,4.44,4.443,4.4,4.405,184940.0
2020-08-17,4.49,4.5205,4.48,4.5095,102314.0
2020-08-18,4.57,4.57,4.48,4.52,108113.0
2020-08-19,4.53,4.61,4.52,4.54,277850.0
2020-08-20,4.39,4.44,4.37,4.42,137978.0
2020-08-21,4.37,4.37,4.33,4.35,279128.0
2020-08-24,4.46,4.46,4.41,4.43,128006.0
2020-08-25,4.42,4.44,4.34,4.38,226028.0
2020-08-26,4.38,4.44,4.37,4.438,208261.0
2020-08-27,4.485,4.5,4.34,4.35,2365813.0
2020-08-28,4.43,4.48,4.43,4.46,2859679.0
2020-08-31,4.74,4.77,4.65,4.685,683888.0
2020-09-01,4.55,4.6,4.51,4.58,263594.0
2020-09-02,4.63,4.65,4.57,4.65,215086.0
2020-09-03,4.49,4.52,4.33,4.37,450214.0
2020-09-04,4.445,4.6,4.43,4.56,206872.0
2020-09-08,4.46,4.5,4.4,4.45,198623.0
2020-09-09,4.5,4.52,4.48,4.5,89655.0
2020-09-10,4.48,4.53,4.37,4.4,131480.0
2020-09-11,4.55,4.62,4.52,4.59,198068.0
2020-09-14,4.61,4.63,4.59,4.62,158387.0
2020-09-15,4.77,4.78,4.7,4.71,449403.0
2020-09-16,4.78,4.79,4.73,4.758,465767.0
2020-09-17,4.68,4.761,4.67,4.75,79741.0
2020-09-18,4.67,4.69,4.6,4.62,235504.0
2020-09-21,4.47,4.47,4.35,4.42,358486.0
2020-09-22,4.415,4.44,4.33,4.395,150603.0
2020-09-23,4.39,4.4,4.24,4.25,260863.0
2020-09-24,4.2475,4.3,4.22,4.26,133865.0
2020-09-25,4.21,4.25,4.18,4.24,101277.0
2020-09-28,4.28,4.28,4.18,4.184,192176.0
2020-09-29,4.15,4.16,4.09,4.12,220120.0
2020-09-30,4.14,4.18,4.08,4.1,315225.0
2020-10-01,4.07,4.07,4.02,4.04,301300.0
2020-10-02,4.04,4.16,4.01,4.11,118802.0
2020-10-05,4.19,4.23,4.16,4.225,86694.0
2020-10-06,4.27,4.29,4.15,4.16,152139.0
2020-10-07,4.32,4.37,4.25,4.33,74238.0
2020-10-08,4.4,4.41,4.33,4.35,111804.0
2020-10-09,4.52,4.55,4.44,4.44,118125.0
2020-10-12,4.47,4.47,4.42,4.43,136447.0
2020-10-13,4.33,4.33,4.28,4.31,105398.0
2020-10-14,4.31,4.36,4.31,4.31,122382.0
2020-10-15,4.13,4.18,4.11,4.18,142291.0
2020-10-16,4.16,4.19,4.12,4.18,184388.0
2020-10-19,4.21,4.3,4.18,4.21,181118.0
2020-10-20,4.27,4.36,4.26,4.32,477222.0
2020-10-21,4.34,4.43,4.325,4.35,212022.0
2020-10-22,4.23,4.31,4.23,4.28,134624.0
2020-10-23,4.34,4.35,4.29,4.3135,129212.0
2020-10-26,4.32,4.35,4.23,4.27,126624.0
2020-10-27,4.18,4.18,4.12,4.15,102857.0
2020-10-28,4.03,4.04,3.96,3.985,655475.0
2020-10-29,3.94,4.04,3.9,4.005,354850.0
2020-10-30,3.99,4.0,3.92,4.0,167247.0
2020-11-02,4.0,4.03,3.98,3.995,182356.0
2020-11-03,4.15,4.2,4.12,4.16,145459.0
2020-11-04,4.13,4.2,4.08,4.13,130776.0
2020-11-05,4.18,4.29,4.18,4.2435,151692.0
2020-11-06,4.355,4.45,4.32,4.45,172886.0
2020-11-09,4.84,4.845,4.62,4.66,458105.0
2020-11-10,4.86,4.95,4.86,4.9,301268.0
2020-11-11,4.91,4.97,4.87,4.91,170045.0
2020-11-12,4.84,4.923,4.82,4.83,124606.0
2020-11-13,4.91,4.98,4.88,4.97,127777.0
2020-11-16,5.12,5.13,5.05,5.11,152696.0
2020-11-17,5.07,5.076,5.005,5.06,171063.0
2020-11-18,5.1,5.15,5.04,5.04,168106.0
2020-11-19,4.98,5.06,4.96,5.06,116246.0
2020-11-20,5.12,5.1598,5.1,5.13,214901.0
2020-11-23,5.28,5.33,5.24,5.315,302163.0
2020-11-24,5.56,5.64,5.53,5.63,323623.0
2020-11-25,5.61,5.74,5.58,5.73,346335.0
2020-11-27,5.64,5.7,5.61,5.68,283012.0
2020-11-30,5.7,5.74,5.59,5.6,235645.0
2020-12-01,5.78,5.88,5.78,5.87,295401.0
2020-12-02,5.85,5.92,5.82,5.89,275262.0
2020-12-03,6.14,6.22,6.1,6.14,373515.0
2020-12-04,6.29,6.43,6.29,6.41,520943.0
2020-12-07,6.34,6.4,6.31,6.34,396144.0
2020-12-08,6.26,6.32,6.24,6.3,292588.0
2020-12-09,6.38,6.4,6.26,6.32,608609.0
2020-12-10,6.24,6.35,6.24,6.28,260074.0
2020-12-11,6.24,6.28,6.1703,6.23,125192.0
2020-12-14,6.29,6.33,6.22,6.22,298410.0
2020-12-15,6.33,6.47,6.25,6.456,250461.0
2020-12-16,6.55,6.55,6.46,6.5,167410.0
2020-12-17,6.53,6.56,6.48,6.525,310520.0
2020-12-18,6.5,6.513,6.46,6.49,205375.0
2020-12-21,6.18,6.34,6.15,6.31,570491.0
2020-12-22,6.21,6.21,6.12,6.15,397296.0
2020-12-23,6.3,6.38,6.28,6.37,191214.0
2020-12-24,6.4,6.4,6.29,6.31,82757.0
2020-12-28,6.5,6.5,6.29,6.313,130193.0
2020-12-29,6.36,6.36,6.25,6.27,281585.0
2020-12-30,6.33,6.4,6.33,6.34,205603.0
2020-12-31,6.32,6.36,6.24,6.27,262580.0
2021-01-04,6.71,6.75,6.5375,6.54,300264.0
2021-01-05,6.74,6.95,6.73,6.95,367364.0
2021-01-06,7.35,7.47,7.3,7.4,477313.0
2021-01-07,7.42,7.59,7.4,7.56,261126.0
2021-01-08,7.48,7.51,7.38,7.49,280019.0
2021-01-11,7.2,7.31,7.18,7.265,335475.0
2021-01-12,7.35,7.55,7.32,7.54,366427.0
2021-01-13,7.57,7.57,7.49,7.49,251383.0
2021-01-14,7.64,7.77,7.64,7.7435,435255.0
2021-01-15,7.61,7.63,7.445,7.525,211733.0
2021-01-19,7.53,7.53,7.4,7.49,524514.0
2021-01-20,7.63,7.6595,7.56,7.65,282846.0
2021-01-21,7.7,7.7,7.51,7.56,438216.0
2021-01-22,7.35,7.4,7.31,7.375,734517.0
2021-01-25,6.91,7.1,6.85,7.1,525049.0
2021-01-26,7.005,7.0165,6.9203,6.95,247816.0
2021-01-27,6.58,6.6,6.38,6.455,888530.0
2021-01-28,6.79,6.88,6.7,6.8,346368.0
2021-01-29,6.82,6.82,6.6255,6.65,430489.0
2021-02-01,6.88,6.9,6.75,6.83,530232.0
2021-02-02,6.65,6.76,6.59,6.71,355500.0
2021-02-03,6.68,6.77,6.65,6.7545,288345.0
2021-02-04,6.71,6.73,6.66,6.7045,259745.0
2021-02-05,7.04,7.12,6.95,7.11,266292.0
2021-02-08,7.26,7.31,7.21,7.25,419934.0
2021-02-09,7.31,7.32,7.2,7.31,367040.0
2021-02-10,7.55,7.6,7.335,7.42,291496.0
2021-02-11,7.38,7.43,7.331,7.3995,509682.0
2021-02-12,7.28,7.45,7.259,7.45,274669.0
2021-02-16,7.93,8.01,7.93,7.97,898450.0
2021-02-17,8.07,8.1,7.9,8.01,408411.0
2021-02-18,8.16,8.18,8.0,8.09,593055.0
2021-02-19,8.28,8.43,8.26,8.27,1019284.0
2021-02-22,8.352,8.67,8.34,8.5245,1319792.0
2021-02-23,8.34,8.61,8.15,8.6,646973.0
2021-02-24,8.436,8.62,8.36,8.62,641391.0
2021-02-25,8.645,8.669,8.27,8.34,457087.0
