date,open,high,low,close,volume
2022-12-02,106.0,107.2,105.4,106.55,7540
2022-12-05,108.55,108.55,106.3,106.3,8076
2022-12-06,108.25,109.0,108.05,108.75,11433
2022-12-07,106.25,107.0,105.9,106.35,9747
2022-12-08,109.3,110.0,109.2,109.55,12647
2022-12-09,111.6,112.5,110.5,110.8,5817
2022-12-12,109.65,110.5,108.05,108.7,4541
2022-12-13,108.8,109.2,107.45,108.0,8814
2022-12-14,108.85,109.85,108.15,108.85,4191
2022-12-15,112.0,112.9,110.35,110.65,6766
2022-12-16,111.05,111.3,107.2,108.65,9686
2022-12-19,107.95,108.35,107.4,107.65,5442
2022-12-20,109.95,109.95,108.75,109.1,3311
2022-12-21,112.6,112.7,111.2,111.5,5758
2022-12-22,110.65,111.05,109.25,109.25,4101
2022-12-23,109.45,110.9,109.0,109.0,2595
2022-12-27,113.8,114.0,112.6,112.9,3073
2022-12-28,113.25,113.95,112.95,113.45,3067
2022-12-29,115.45,115.45,114.55,114.9,3268
2022-12-30,116.05,116.2,115.45,116.0,624
2023-01-03,116.2,117.1,115.75,116.55,4450
2023-01-04,115.15,115.15,113.9,114.55,6744
2023-01-05,114.6,115.75,113.95,114.4,6039
2023-01-06,117.9,118.35,115.35,116.35,11427
2023-01-09,117.0,117.65,116.85,117.0,4125
2023-01-10,120.05,120.5,118.9,119.6,3598
2023-01-11,121.25,122.05,120.5,121.05,4765
2023-01-12,122.35,123.1,121.9,122.8,4665
2023-01-13,124.3,124.35,121.5,121.5,7455
2023-01-16,119.95,119.95,118.0,118.4,5296
2023-01-17,121.0,122.05,120.05,121.55,4290
2023-01-18,122.0,124.3,122.0,123.4,5103
2023-01-19,123.2,125.0,122.35,123.55,9061
2023-01-20,125.25,125.7,124.8,125.0,986
2023-01-23,126.5,126.8,125.65,126.05,333
2023-01-24,124.05,125.55,122.95,122.95,2847
2023-01-25,125.0,125.35,124.45,124.65,2006
2023-01-26,126.35,126.9,125.8,126.85,1784
2023-01-27,126.35,127.3,126.0,126.2,3379
2023-01-30,128.35,128.65,126.05,126.1,8679
2023-01-31,126.8,128.4,126.6,127.8,7838
2023-02-01,125.6,126.2,124.3,125.3,6248
2023-02-02,123.6,123.95,122.25,122.7,8721
2023-02-03,124.75,125.0,121.9,122.5,4235
2023-02-06,123.0,123.35,121.3,122.1,2237
2023-02-07,120.8,121.45,118.15,118.15,9689
2023-02-08,121.45,122.25,120.8,120.85,4484
2023-02-09,123.6,124.2,123.25,123.7,2605
2023-02-10,123.8,124.6,123.8,123.95,3075
2023-02-13,120.55,121.15,119.9,120.55,3610
2023-02-14,122.85,123.25,122.15,122.55,5585
2023-02-15,123.3,123.7,122.75,123.35,5232
2023-02-16,123.5,124.75,123.4,123.8,7731
2023-02-17,125.0,126.6,124.35,125.25,8877
2023-02-20,128.5,130.85,128.5,130.8,9015
2023-02-21,130.1,131.1,129.1,129.75,7064
2023-02-22,130.25,131.2,129.45,129.9,7026
2023-02-23,129.75,130.55,129.1,129.2,4434
2023-02-24,126.75,126.8,123.5,123.5,10572
2023-02-27,122.75,124.3,122.75,123.6,5992
2023-02-28,123.65,124.25,122.95,123.35,4569
2023-03-01,125.95,126.7,125.95,126.15,6490
2023-03-02,126.3,126.6,125.8,126.2,3095
2023-03-03,125.5,126.05,124.85,125.7,4519
2023-03-06,123.4,124.6,123.0,123.8,5947
2023-03-07,126.3,126.55,125.25,125.7,5330
2023-03-08,127.0,127.3,125.65,125.8,8108
2023-03-09,127.55,130.3,127.55,129.35,12519
2023-03-10,128.6,130.8,128.3,129.55,9968
2023-03-13,130.9,132.4,130.7,132.2,6439
2023-03-14,131.3,131.75,131.1,131.35,8651
2023-03-15,130.3,131.0,129.5,129.5,5234
2023-03-16,128.9,129.15,126.85,128.2,7159
2023-03-17,129.0,129.5,128.15,128.45,5893
2023-03-20,125.75,126.7,124.5,124.75,12383
2023-03-21,123.45,124.45,123.05,123.7,9987
2023-03-22,120.15,121.95,120.1,121.0,11460
2023-03-23,116.6,117.35,116.45,116.55,8023
2023-03-24,116.9,118.25,116.6,116.6,2908
2023-03-27,120.1,121.1,120.05,120.9,2361
2023-03-28,121.85,122.5,121.75,121.85,6841
2023-03-29,123.65,123.7,122.8,123.1,5545
2023-03-30,125.5,126.7,125.5,125.55,5219
2023-03-31,125.2,125.45,123.45,123.6,6136
2023-04-03,120.1,121.55,120.1,120.25,5223
2023-04-04,118.35,118.6,118.2,118.2,1993
2023-04-05,117.9,118.25,117.05,117.05,1619
2023-04-06,116.7,117.3,115.8,116.0,4380
2023-04-10,117.9,117.9,116.7,116.75,3313
2023-04-11,119.45,119.85,117.85,118.6,7260
2023-04-12,118.1,118.4,117.1,117.35,4476
