date,open,high,low,close,volume
2015-01-05,14.15,15.94,14.15,15.94,1247142.29
2015-01-06,16.11,16.31,15.0,15.22,1066281.14
2015-01-07,15.11,16.06,14.98,15.39,660412.92
2015-01-08,15.29,15.55,14.48,14.71,521479.91
2015-01-09,14.61,15.06,14.37,14.39,445966.15
2015-01-12,14.16,14.18,13.55,13.75,405586.64
2015-01-13,13.6,13.93,13.26,13.45,311479.79
2015-01-14,13.25,13.42,12.74,12.92,476893.5
2015-01-15,12.67,13.17,12.18,13.16,547688.65
2015-01-16,13.08,13.59,12.98,13.27,409865.54
2015-01-19,12.61,13.21,11.87,12.08,487451.05
2015-01-20,12.05,12.58,12.05,12.5,294264.74
2015-01-21,12.57,13.31,12.47,13.23,413756.62
2015-01-22,13.36,14.43,13.36,13.95,690790.83
2015-01-23,14.46,14.66,13.6,13.68,482881.49
2015-01-26,13.68,14.25,13.41,13.95,340788.77
2015-01-27,14.01,14.3,13.59,14.0,356677.39
2015-01-28,13.67,13.86,13.56,13.65,226101.0
2015-01-29,13.4,13.61,13.16,13.2,278286.44
2015-01-30,13.24,13.61,13.19,13.23,187690.44
2015-02-02,13.06,13.54,12.85,13.25,188607.29
2015-02-03,13.44,13.59,13.16,13.56,167381.11
2015-02-04,14.08,14.25,13.66,13.69,328306.6
2015-02-05,14.16,14.21,13.07,13.12,288163.44
2015-02-06,13.0,13.18,12.24,12.88,275003.39
2015-02-09,12.72,12.92,12.55,12.85,139191.46
2015-02-10,12.78,13.05,12.75,13.0,151742.44
2015-02-11,12.94,13.04,12.76,12.79,116362.49
2015-02-12,12.81,12.85,12.44,12.64,155862.13
2015-02-13,12.83,13.36,12.8,13.01,284768.0
2015-02-16,13.04,13.21,12.98,13.11,135513.63
2015-02-17,13.11,13.34,13.11,13.28,143072.09
2015-02-25,13.35,13.35,12.93,12.98,146831.54
2015-02-26,12.96,13.89,12.92,13.85,344534.63
2015-02-27,14.06,14.06,13.55,13.73,253540.9
2015-03-02,13.98,14.74,13.98,14.38,497157.13
2015-03-03,14.24,14.93,13.95,14.32,580743.54
2015-03-04,14.21,14.46,13.96,14.11,290114.0
2015-03-05,14.01,14.04,13.67,13.97,254226.26
2015-03-06,13.92,14.73,13.85,14.38,477536.6
2015-03-09,14.11,14.27,13.7,14.25,280799.64
2015-03-10,14.26,14.58,14.11,14.14,266226.86
2015-03-11,14.04,14.23,13.77,13.96,203029.9
2015-03-12,14.15,14.25,13.87,14.24,248095.09
2015-03-13,14.28,14.73,14.24,14.42,397424.5
2015-03-16,14.48,15.01,14.28,14.98,465998.89
2015-03-17,15.26,15.45,14.76,15.12,576211.09
2015-03-18,15.13,15.46,14.91,15.45,572266.84
2015-03-19,15.56,16.12,15.18,15.39,642899.03
2015-03-20,15.4,15.61,15.09,15.28,469702.07
2015-03-23,16.46,16.86,15.84,16.04,825399.47
2015-03-24,16.27,17.53,15.78,17.51,1130417.48
2015-03-25,17.04,17.51,16.69,16.93,633131.74
2015-03-26,16.66,16.95,16.16,16.45,546139.75
2015-03-27,16.61,17.27,16.37,16.77,552080.62
2015-03-30,16.65,17.25,16.41,17.12,616363.83
2015-03-31,17.18,17.4,16.46,16.54,562803.1
2015-04-01,16.44,16.86,16.28,16.68,436589.55
2015-04-02,16.77,17.75,16.48,17.71,990168.69
2015-04-03,17.44,18.48,17.27,17.72,857271.4
2015-04-07,18.03,18.71,17.82,18.39,800744.48
2015-04-08,18.41,18.53,17.57,17.81,617128.91
2015-04-09,17.84,18.02,16.88,17.45,548238.25
2015-04-10,17.26,17.81,17.07,17.6,420661.86
2015-04-13,17.67,17.76,17.26,17.56,596057.44
2015-04-14,17.47,17.47,17.01,17.12,545262.3
2015-04-15,17.06,17.11,16.29,16.72,545132.28
2015-04-16,16.5,17.15,16.36,16.99,462397.15
2015-04-17,17.36,18.27,17.26,17.97,1147160.46
2015-04-20,18.02,18.8,17.46,17.64,1268797.88
2015-04-21,17.36,17.83,16.81,17.73,948093.1
2015-04-22,17.72,18.63,17.72,18.36,1067522.77
2015-04-23,18.25,20.27,18.2,19.92,1667618.38
2015-04-24,19.45,20.04,19.16,19.52,957514.11
2015-04-27,19.61,20.15,19.17,19.8,906490.1
2015-04-28,19.79,19.79,18.45,18.76,927140.34
2015-04-29,18.84,20.01,18.84,19.46,864540.42
2015-04-30,19.66,19.81,18.71,18.75,528533.9
2015-05-04,19.36,19.96,19.06,19.25,675769.67
2015-05-05,18.96,19.31,17.73,17.8,646800.77
2015-05-06,17.96,18.95,17.76,18.05,693642.16
2015-05-07,17.6,18.66,17.48,17.66,441529.34
2015-05-08,17.91,18.36,17.46,18.03,399596.12
2015-05-11,18.48,18.76,18.14,18.65,583949.61
2015-05-12,18.65,18.76,18.19,18.64,503151.63
2015-05-13,18.69,19.15,18.48,18.88,692105.63
2015-05-14,18.94,19.33,18.35,19.26,781608.21
2015-05-15,19.05,19.96,18.62,18.65,743756.89
2015-05-18,18.24,18.86,17.67,17.99,499979.24
2015-05-19,17.74,18.85,17.74,18.77,549250.96
2015-05-20,18.51,19.02,18.35,18.46,620465.53
2015-05-21,18.44,18.54,18.07,18.39,486171.65
2015-05-22,18.49,19.28,18.49,19.22,794925.41
2015-05-25,19.14,19.76,18.96,19.74,926058.4
2015-05-26,19.86,20.21,19.25,20.1,1049962.43
2015-05-27,20.16,22.05,19.54,21.35,1443203.88
2015-05-28,20.66,22.66,19.55,19.77,1651363.1
2015-05-29,20.25,21.16,18.77,20.52,1241586.1
2015-06-01,20.56,22.32,20.1,22.06,1176446.56
2015-06-02,22.03,22.32,21.42,22.1,910718.58
2015-06-03,22.16,22.27,20.96,21.31,688414.92
2015-06-04,21.25,22.01,19.38,21.77,874591.75
2015-06-05,21.86,24.26,21.86,23.84,1774639.32
2015-06-08,24.16,25.64,24.08,24.17,1425848.21
2015-06-09,24.46,25.32,23.19,24.6,934830.77
2015-06-10,24.26,25.26,23.76,24.55,734661.83
2015-06-11,24.52,24.76,23.56,23.91,717038.37
2015-06-12,23.85,24.32,23.52,23.77,671609.19
2015-06-15,23.84,24.32,23.18,23.39,648608.42
2015-06-16,22.86,22.86,21.79,21.9,575159.53
2015-06-17,21.9,23.24,21.38,23.17,628101.97
2015-06-18,23.16,23.81,21.76,21.82,497938.65
2015-06-19,21.45,22.16,19.87,20.05,508502.57
2015-06-23,20.04,20.97,18.67,20.95,485672.58
2015-06-24,21.08,22.3,20.68,22.04,692064.75
2015-06-25,21.86,22.34,20.35,20.48,535711.67
2015-06-26,19.66,20.05,18.0,18.0,563851.69
2015-06-29,18.72,18.89,15.77,15.78,801660.55
2015-06-30,15.31,17.19,13.97,17.17,783982.25
2015-07-01,17.04,17.61,15.02,15.02,639419.37
2015-07-02,15.26,15.51,13.08,13.08,838640.03
2015-07-03,12.67,13.78,11.34,12.87,960759.35
2015-07-06,14.51,14.51,11.33,12.52,890350.56
2015-07-07,11.78,11.93,10.83,10.87,1247994.97
2015-07-08,9.35,9.63,9.35,9.35,490596.71
2015-07-09,9.35,10.72,8.59,10.72,824265.12
2015-07-10,11.01,12.23,10.82,12.23,744120.86
2015-07-13,12.71,13.89,12.47,13.89,1173795.88
2015-07-14,13.36,14.24,12.52,12.85,932589.08
2015-07-15,12.37,12.54,11.13,11.13,673884.15
2015-07-16,11.13,11.92,10.29,11.56,499786.53
2015-07-17,11.76,12.77,11.51,12.46,476225.44
2015-07-20,12.39,12.99,12.06,12.5,523197.17
2015-07-21,12.17,12.76,12.07,12.55,457089.52
