date,inventory
2015-01-02,25125.0
2015-01-05,25125.0
2015-01-07,24550.0
2015-01-08,24075.0
2015-01-09,24100.0
2015-01-12,24450.0
2015-01-13,24350.0
2015-01-14,23025.0
2015-01-15,22950.0
2015-01-16,22725.0
2015-01-19,23850.0
2015-01-20,23700.0
2015-01-21,23700.0
2015-01-22,23600.0
2015-01-23,23450.0
2015-01-26,23300.0
2015-01-27,23250.0
2015-01-28,23075.0
2015-01-29,22850.0
2015-01-30,23125.0
2015-02-02,23100.0
2015-02-03,23025.0
2015-02-04,22775.0
2015-02-05,24200.0
2015-02-06,25650.0
2015-02-09,25300.0
2015-02-10,27300.0
2015-02-11,26275.0
2015-02-12,31975.0
2015-02-13,34900.0
2015-02-16,34300.0
2015-02-17,34175.0
2015-02-25,31250.0
2015-02-26,30125.0
2015-02-27,29850.0
2015-03-02,29650.0
2015-03-03,29800.0
2015-03-04,41400.0
2015-03-09,50600.0
2015-03-10,49500.0
2015-03-11,48950.0
2015-03-12,47475.0
2015-03-13,56800.0
2015-03-16,55275.0
2015-03-18,98950.0
2015-03-19,96625.0
2015-03-23,93200.0
2015-03-24,91250.0
2015-03-25,91250.0
2015-03-27,84975.0
2015-03-30,82875.0
2015-04-01,81450.0
2015-04-02,79375.0
2015-04-08,74675.0
2015-04-09,73800.0
2015-04-10,73725.0
2015-04-13,80150.0
2015-04-14,80025.0
2015-04-15,80525.0
2015-04-16,80450.0
2015-04-17,79325.0
2015-04-20,78750.0
2015-04-21,75475.0
2015-04-22,76325.0
2015-04-23,75800.0
2015-04-27,74675.0
2015-04-28,73700.0
2015-04-29,85950.0
2015-04-30,85125.0
2015-05-05,87475.0
2015-05-06,86300.0
2015-05-08,84375.0
2015-05-11,96275.0
2015-05-12,107700.0
2015-05-14,120175.0
2015-05-15,126625.0
2015-05-18,125975.0
2015-05-20,123425.0
2015-05-21,120775.0
2015-05-22,117875.0
2015-05-26,113900.0
2015-05-27,112650.0
2015-05-28,110125.0
2015-05-29,107350.0
2015-06-01,105175.0
2015-06-02,105225.0
2015-06-03,103175.0
2015-06-04,102650.0
2015-06-05,110850.0
2015-06-09,96325.0
2015-06-12,74525.0
2015-06-15,73400.0
2015-06-16,73400.0
2015-06-18,68850.0
2015-06-23,69625.0
2015-06-24,66075.0
2015-06-25,63225.0
2015-06-26,60250.0
2015-06-29,61225.0
2015-06-30,60125.0
2015-07-02,56125.0
2015-07-03,54825.0
2015-07-06,53825.0
2015-07-07,52850.0
2015-07-09,45700.0
2015-07-10,44750.0
2015-07-13,43200.0
2015-07-14,40875.0
2015-07-15,28575.0
2015-07-16,26800.0
2015-07-17,24925.0
2015-07-20,23625.0
2015-07-21,24050.0
2015-07-22,23750.0
2015-07-23,21500.0
2015-07-24,20425.0
2015-07-27,19250.0
2015-07-28,18175.0
2015-07-29,21475.0
2015-07-30,23675.0
2015-08-03,24175.0
2015-08-04,24150.0
2015-08-05,23775.0
2015-08-06,24175.0
2015-08-07,22900.0
2015-08-10,22800.0
2015-08-11,22300.0
2015-08-13,14700.0
2015-08-14,18125.0
2015-08-17,25975.0
2015-08-18,26425.0
2015-08-19,27300.0
2015-08-20,37175.0
2015-08-21,42625.0
2015-08-24,52800.0
2015-08-25,53700.0
2015-08-26,53100.0
2015-08-27,52325.0
2015-08-28,56225.0
2015-09-01,52625.0
2015-09-02,56425.0
2015-09-07,59525.0
2015-09-08,57700.0
2015-09-09,57675.0
2015-09-10,63775.0
2015-09-11,63050.0
2015-09-14,79450.0
2015-09-15,69600.0
2015-09-16,69475.0
2015-09-17,67875.0
2015-09-18,67775.0
2015-09-21,66200.0
2015-09-22,63775.0
2015-09-24,57500.0
2015-09-25,56950.0
2015-09-29,52650.0
2015-09-30,80850.0
2015-10-08,66425.0
2015-10-09,64250.0
2015-10-13,59575.0
2015-10-14,56375.0
2015-10-15,56775.0
2015-10-16,65225.0
2015-10-19,60800.0
2015-10-20,56575.0
2015-10-22,56900.0
2015-10-23,52475.0
2015-10-26,89850.0
2015-10-27,86675.0
2015-10-28,82925.0
2015-10-29,78755.0
2015-10-30,75725.0
2015-11-02,76700.0
2015-11-03,81725.0
2015-11-04,78875.0
2015-11-05,77825.0
2015-11-06,75425.0
2015-11-09,68825.0
2015-11-10,66325.0
2015-11-11,64225.0
2015-11-13,60425.0
2015-11-16,57875.0
2015-11-17,54675.0
2015-11-19,53250.0
2015-11-20,50525.0
2015-11-23,46950.0
2015-11-24,46000.0
2015-11-25,42250.0
2015-11-26,37675.0
2015-11-27,34925.0
2015-11-30,33925.0
2015-12-01,32875.0
2015-12-02,29075.0
2015-12-03,27850.0
2015-12-04,26225.0
2015-12-07,25050.0
2015-12-08,25275.0
2015-12-09,21850.0
2015-12-10,21750.0
2015-12-11,21125.0
2015-12-14,19850.0
2015-12-15,19450.0
2015-12-16,20900.0
2015-12-17,20600.0
2015-12-18,23175.0
2015-12-21,26625.0
2015-12-23,26500.0
2015-12-24,31500.0
2015-12-29,36150.0
2015-12-30,38250.0
2015-12-31,40300.0
2016-01-04,38200.0
2016-01-05,38875.0
2016-01-06,38900.0
2016-01-07,39525.0
2016-01-08,37325.0
2016-01-11,41500.0
2016-01-12,40675.0
2016-01-13,40075.0
