date,open,high,low,close,volume,open_interest
2001-02-12,1771.0,1776.0,1770.0,1775.0,72103.0,2096.0
2001-02-13,1773.0,1794.0,1771.0,1791.5,54823.0,1797.0
2001-02-14,1782.0,1783.0,1775.0,1780.0,41877.0,1517.0
2001-02-15,1795.0,1804.0,1795.0,1799.0,53969.0,5598.0
2001-02-16,1805.0,1805.0,1789.0,1794.0,39921.0,5445.0
2001-02-19,1785.0,1788.0,1779.0,1780.5,64555.0,1198.0
2001-02-20,1777.0,1783.0,1775.0,1780.0,48018.0,1248.0
2001-02-21,1774.0,1776.0,1758.0,1761.0,59851.0,1247.0
2001-02-22,1756.0,1758.0,1752.0,1753.0,67851.0,6217.0
2001-02-23,1758.0,1763.0,1733.0,1745.0,63397.0,2066.0
2001-02-26,1748.5,1765.0,1748.0,1764.0,69685.0,8833.0
2001-02-27,1762.0,1762.0,1754.0,1761.0,83489.0,1144.0
2001-02-28,1752.0,1774.0,1751.0,1774.0,70.0,2088.0
2001-03-01,1770.0,1787.0,1770.0,1787.0,80.0,1270.0
2001-03-02,1792.0,1792.0,1790.0,1790.0,30.0,2016.0
2001-03-05,1793.0,1808.0,1792.0,1807.0,220.0,4145.0
2001-03-06,1827.0,1836.0,1827.0,1834.0,110.0,96682.0
2001-03-07,1831.0,1831.0,1821.0,1821.0,80.0,4634.0
2001-03-08,1816.0,1816.0,1797.0,1797.0,70.0,4089.0
2001-03-09,1796.0,1810.0,1795.0,1810.0,170.0,3193.0
2001-03-12,1803.0,1807.0,1794.0,1799.0,90.0,1988.0
2001-03-13,1792.0,1792.0,1780.0,1782.0,260.0,5230.0
2001-03-14,1789.0,1789.0,1765.0,1766.0,290.0,2166.0
2001-03-15,1770.0,1774.0,1765.0,1767.0,360.0,5617.0
2001-03-16,1768.0,1768.0,1735.0,1735.0,190.0,3588.0
2001-03-19,1723.0,1740.0,1723.0,1740.0,240.0,1936.0
2001-03-20,1745.0,1753.0,1743.5,1751.0,310.0,104963.0
2001-03-21,1736.0,1740.0,1731.0,1734.0,140.0,76730.0
2001-03-22,1735.0,1735.0,1713.0,1713.0,270.0,82211.0
2001-03-23,1723.0,1724.0,1717.0,1717.0,200.0,73034.0
2001-03-26,1727.0,1736.0,1720.0,1720.0,230.0,68848.0
2001-03-27,1710.0,1736.0,1710.0,1736.0,180.0,65798.0
2001-03-28,1731.0,1732.0,1700.0,1700.0,210.0,84561.0
2001-03-29,1691.0,1694.0,1689.0,1691.0,150.0,86178.0
2001-03-30,1702.0,1702.0,1689.0,1689.0,80.0,92826.0
2001-04-02,1682.0,1780.0,1673.5,1673.5,110.0,72287.0
2001-04-03,1677.0,1680.0,1672.0,1677.0,90.0,56616.0
2001-04-04,1683.0,1694.0,1681.0,1685.0,270.0,39366.0
2001-04-05,1690.0,1699.0,1690.0,1697.0,200.0,66795.0
2001-04-06,1697.0,1697.0,1664.0,1664.0,120.0,71002.0
2001-04-09,1660.0,1677.0,1654.0,1677.0,160.0,76799.0
2001-04-10,1683.0,1707.0,1677.5,1699.0,280.0,70336.0
2001-04-11,1796.0,1796.0,1690.0,1690.0,210.0,93101.0
2001-04-12,1696.0,1696.0,1683.0,1683.0,90.0,96030.0
2001-04-16,1694.0,1697.0,1694.0,1695.0,130.0,72436.0
2001-04-17,1699.0,1699.0,1691.0,1693.0,40.0,77535.0
2001-04-18,1696.0,1725.0,1694.0,1725.0,220.0,72806.0
2001-04-19,1728.0,1728.0,1721.0,1721.0,60.0,66820.0
2001-04-20,1710.0,1714.0,1705.0,1711.0,290.0,48854.0
2001-04-23,1710.0,1714.0,1689.0,1689.0,120.0,194062.0
2001-04-24,1682.0,1690.0,1675.0,1679.0,550.0,194062.0
2001-04-25,1680.0,1700.0,1676.0,1700.0,220.0,194468.0
2001-04-26,1695.0,1704.0,1685.0,1685.0,110.0,194274.0
2001-04-27,1685.0,1692.0,1684.0,1690.25,60.0,195967.0
2001-04-30,1685.0,1692.0,1680.0,1692.0,160.0,201479.0
2001-05-01,1695.0,1708.0,1694.0,1704.0,210.0,201479.0
2001-05-02,1709.0,1731.0,1709.0,1730.0,170.0,201479.0
2001-05-03,1731.0,1743.0,1720.0,1720.0,260.0,201479.0
2001-05-04,1720.0,1723.0,1708.0,1708.0,170.0,201479.0
2001-05-07,1715.0,1717.0,1708.0,1710.0,0.0,0.0
2001-05-08,1717.0,1717.0,1685.0,1688.0,230.0,201479.0
2001-05-09,1687.0,1687.0,1675.0,1675.0,330.0,201479.0
2001-05-10,1681.0,1687.0,1672.0,1672.0,180.0,212358.0
2001-05-11,1670.0,1675.0,1666.0,1670.0,130.0,201479.0
2001-05-14,1681.0,1683.0,1663.0,1663.0,80.0,201479.0
2001-05-15,1667.0,1667.0,1661.0,1661.0,60.0,216418.0
2001-05-16,1663.0,1666.0,1658.0,1658.0,50.0,204348.0
2001-05-17,1675.0,1695.0,1673.0,1695.0,90.0,209497.0
2001-05-18,1696.0,1724.0,1693.0,1724.0,190.0,207435.0
2001-05-21,1741.0,1756.0,1737.0,1756.0,290.0,209497.0
2001-05-22,1743.0,1747.0,1743.0,1746.5,140.0,210931.0
2001-05-23,1728.0,1728.0,1723.0,1723.0,50.0,59351.0
2001-05-24,1728.0,1748.0,1728.0,1748.0,80.0,53968.0
2001-05-25,1737.0,1739.0,1737.0,1739.0,50.0,52179.0
2001-05-29,1733.0,1733.0,1725.0,1725.0,40.0,50255.0
2001-05-30,1697.0,1701.0,1690.0,1690.0,30.0,205529.0
2001-05-31,1690.0,1770.0,1675.0,1675.0,50.0,205529.0
2001-06-01,1677.0,1678.0,1672.0,1672.0,60.0,205529.0
2001-06-04,1671.0,1671.0,1657.0,1657.0,70.0,210493.0
2001-06-05,1669.0,1685.0,1666.5,1685.0,260.0,164903.0
2001-06-06,1687.0,1687.0,1680.0,1680.0,40.0,209969.0
2001-06-07,1676.0,1676.0,1669.0,1671.0,80.0,209159.0
2001-06-08,1662.0,1662.0,1631.0,1646.0,230.0,207956.0
2001-06-11,1635.0,1635.0,1630.0,1630.0,110.0,207956.0
2001-06-12,1631.0,1633.0,1625.5,1625.5,80.0,210119.0
2001-06-13,1624.0,1624.0,1612.0,1612.0,70.0,68722.0
2001-06-14,1616.0,1629.0,1613.0,1629.0,50.0,214134.0
2001-06-15,1622.0,1622.0,1605.0,1605.0,170.0,213459.0
2001-06-18,1599.0,1604.0,1593.0,1604.0,80.0,213459.0
2001-06-19,1611.5,1616.0,1611.5,1616.0,60.0,213057.0
2001-06-20,1609.0,1609.0,1606.0,1607.0,50.0,199069.0
2001-06-21,1600.0,1601.0,1600.0,1601.0,20.0,201873.0
2001-06-22,1596.5,1603.0,1596.5,1603.0,50.0,202627.0
2001-06-25,1594.0,1601.0,1584.0,1589.0,78.0,207691.0
2001-06-26,1588.0,1600.0,1582.0,1600.0,50.0,205741.0
2001-06-27,1603.0,1612.0,1597.0,1607.0,180.0,210620.0
2001-06-28,1600.0,1600.0,1556.0,1583.0,59.0,209209.0
2001-06-29,1572.0,1575.0,1572.0,1575.0,60.0,208729.0
2001-07-02,1562.0,1584.0,1560.0,1584.0,40.0,209525.0
2001-07-03,1583.0,1583.0,1580.0,1580.0,30.0,210508.0
2001-07-04,1574.0,1575.0,1574.0,1575.0,30.0,210508.0
