date,open,high,low,close,volume
2016-07-18,1866.0,1880.0,1841.5,1860.0,576
2016-07-19,1860.0,1875.0,1854.0,1861.5,566
2016-07-20,1861.5,1867.0,1820.5,1853.0,790
2016-07-21,1853.0,1890.0,1850.0,1859.5,781
2016-07-22,1859.5,1867.5,1838.0,1842.0,735
2016-07-25,1842.0,1866.0,1836.0,1848.0,668
2016-07-26,1848.0,1854.0,1830.0,1839.0,737
2016-07-27,1839.0,1845.0,1791.0,1797.5,759
2016-07-28,1797.5,1815.0,1795.0,1807.5,598
2016-07-29,1803.0,1829.5,1787.5,1826.0,1112
2016-08-01,1826.0,1849.0,1821.0,1823.5,930
2016-08-02,1814.0,1843.5,1814.0,1821.5,823
2016-08-03,1821.5,1823.0,1797.0,1808.0,1160
2016-08-04,1808.0,1815.0,1785.0,1796.0,751
2016-08-05,1796.0,1806.5,1782.5,1786.5,700
2016-08-08,1786.5,1805.0,1786.5,1795.5,564
2016-08-09,1795.5,1810.5,1783.0,1808.0,715
2016-08-10,1808.0,1851.5,1805.5,1819.0,1115
2016-08-11,1819.0,1838.5,1815.5,1834.0,694
2016-08-12,1834.0,1845.5,1810.0,1837.0,1056
2016-08-15,1837.0,1871.0,1819.0,1866.5,830
2016-08-16,1866.5,1884.5,1852.0,1875.0,1059
2016-08-17,1875.0,1894.0,1859.0,1886.0,889
2016-08-18,1886.0,1907.0,1875.5,1894.5,920
2016-08-19,1894.5,1895.5,1875.0,1889.0,1109
2016-08-22,1889.0,1896.0,1850.0,1852.5,810
2016-08-23,1852.5,1871.5,1848.5,1865.0,724
2016-08-24,1865.0,1875.0,1852.0,1858.5,908
2016-08-25,1857.5,1867.5,1842.0,1867.0,586
2016-08-26,1867.0,1889.5,1867.0,1879.0,873
2016-08-30,1879.0,1888.0,1861.0,1883.0,751
2016-08-31,1883.0,1905.0,1873.0,1899.5,1721
2016-09-01,1899.5,1948.0,1897.0,1941.0,947
2016-09-02,1941.0,1955.5,1924.0,1944.0,1008
2016-09-05,1944.0,1975.0,1939.5,1974.0,641
2016-09-06,1974.0,1974.0,1931.0,1942.0,878
2016-09-07,1942.5,1959.5,1917.5,1919.0,889
2016-09-08,1919.0,1926.0,1893.5,1921.5,870
2016-09-09,1921.5,1921.5,1892.0,1897.5,640
2016-09-12,1897.5,1897.5,1865.0,1883.0,1892
2016-09-13,1883.0,1914.5,1874.0,1891.0,1189
2016-09-14,1891.0,1965.0,1883.5,1950.5,1071
2016-09-15,1950.5,1956.5,1930.5,1944.0,1098
2016-09-16,1944.0,1955.5,1928.5,1934.5,958
2016-09-19,1934.5,1959.0,1924.5,1956.0,1068
2016-09-20,1956.0,1988.0,1951.5,1985.0,1381
2016-09-21,1985.0,1985.0,1932.0,1932.0,1014
2016-09-22,1944.0,1965.0,1942.5,1946.5,992
2016-09-23,1946.5,1949.0,1913.0,1917.0,1022
2016-09-26,1917.0,1949.0,1905.5,1946.5,881
2016-09-27,1946.5,1976.0,1930.5,1958.0,1444
2016-09-28,1953.0,2007.5,1951.0,2004.0,1216
2016-09-29,2004.0,2070.5,2000.5,2065.0,1680
2016-09-30,2065.0,2157.0,2056.0,2130.0,2095
2016-10-03,2130.0,2143.5,2060.5,2093.5,1852
2016-10-04,2093.5,2102.5,2060.5,2072.5,1467
2016-10-05,2072.5,2086.5,2045.0,2046.0,1079
2016-10-06,2046.0,2079.0,2036.0,2062.0,1010
2016-10-07,2062.0,2106.0,2056.5,2084.0,995
2016-10-10,2084.0,2118.5,2074.0,2103.0,988
2016-10-11,2103.0,2107.0,2047.5,2053.5,1271
2016-10-12,2053.5,2068.0,2023.0,2027.5,1229
2016-10-13,2027.5,2032.0,1992.0,2001.0,1252
2016-10-14,2001.0,2019.0,1991.0,2009.0,1143
2016-10-17,2009.0,2012.5,1977.5,1999.5,891
2016-10-18,1999.5,2016.5,1973.0,1977.0,920
2016-10-19,1977.0,2008.5,1966.5,2007.5,1139
2016-10-20,2007.5,2021.0,1994.5,2021.0,1224
2016-10-21,2021.0,2030.0,1995.0,2003.0,1076
2016-10-24,2003.0,2034.0,1996.5,2031.5,1033
2016-10-25,2031.5,2080.0,2031.5,2058.0,1530
2016-10-26,2058.0,2072.0,2043.0,2067.0,1217
2016-10-27,2067.0,2081.0,2042.0,2050.0,1063
2016-10-28,2050.0,2070.0,2050.0,2068.0,765
2016-10-31,2068.0,2117.5,2020.0,2058.5,1130
2016-11-01,2064.0,2085.0,2053.0,2069.0,1121
2016-11-02,2070.0,2080.0,2044.5,2060.0,853
2016-11-03,2066.0,2097.0,2059.0,2093.0,821
2016-11-04,2094.5,2106.0,2076.5,2096.0,699
2016-11-07,2097.5,2124.5,2075.0,2104.5,1091
2016-11-08,2104.5,2139.5,2076.0,2130.0,1095
2016-11-09,2130.0,2162.0,2076.5,2145.5,2173
2016-11-10,2145.5,2188.0,2135.0,2138.0,1203
2016-11-11,2138.0,2226.0,2110.0,2128.0,1691
2016-11-14,2128.0,2208.0,2128.0,2208.0,1499
2016-11-15,2208.0,2238.0,2164.0,2215.0,1563
2016-11-16,2215.0,2223.0,2161.0,2161.0,1130
2016-11-17,2161.0,2185.0,2132.5,2177.5,896
2016-11-18,2177.5,2192.5,2131.0,2135.5,1096
2016-11-21,2135.5,2190.5,2135.5,2178.0,803
2016-11-22,2178.0,2217.5,2175.0,2200.0,1057
2016-11-23,2200.0,2242.0,2179.5,2238.0,1091
2016-11-24,2238.0,2282.5,2232.0,2238.0,1063
2016-11-25,2238.0,2445.0,2218.0,2430.0,2519
2016-11-28,2430.0,2576.5,2396.5,2443.0,3454
2016-11-29,2443.0,2497.5,2340.0,2353.0,2481
2016-11-30,2353.0,2410.0,2303.0,2345.0,1647
2016-12-01,2345.0,2405.0,2310.0,2350.0,1248
2016-12-02,2350.0,2351.0,2262.0,2266.0,1251
2016-12-05,2266.0,2342.0,2257.0,2340.0,1124
2016-12-06,2335.0,2367.5,2293.0,2366.5,1138
2016-12-07,2366.5,2398.5,2299.0,2320.0,1330
2016-12-08,2320.0,2349.0,2281.0,2300.0,865
2016-12-09,2300.0,2329.0,2292.5,2311.0,694
2016-12-12,2311.0,2352.0,2305.5,2350.0,918
2016-12-13,2350.0,2395.0,2320.0,2343.0,989
2016-12-14,2343.0,2364.5,2316.0,2364.5,1094
2016-12-15,2364.5,2384.0,2297.0,2321.0,1189
2016-12-16,2321.0,2338.0,2238.0,2238.5,1027
2016-12-19,2245.0,2249.5,2130.0,2183.0,1239
2016-12-20,2195.0,2209.5,2140.0,2190.0,983
2016-12-21,2190.0,2206.0,2159.5,2170.5,630
2016-12-22,2170.5,2172.5,2100.0,2133.5,1412
2016-12-23,2133.5,2149.0,2055.0,2067.0,1091
2016-12-27,2067.0,2067.0,2067.0,2067.0,1
2016-12-28,2062.0,2082.5,2017.0,2020.0,1251
2016-12-29,2020.0,2045.0,1959.0,1990.5,1158
2016-12-30,1990.5,2033.0,1982.5,2014.5,916
2017-01-03,2014.5,2034.0,1986.0,2006.0,1066
2017-01-04,2006.0,2085.0,2002.5,2079.0,1077
2017-01-05,2079.0,2090.0,2040.0,2041.5,685
2017-01-06,2041.5,2070.0,2033.0,2069.5,631
2017-01-09,2069.5,2119.5,2066.0,2103.5,839
2017-01-10,2103.5,2191.0,2103.5,2182.0,944
2017-01-11,2172.0,2224.5,2126.0,2143.5,1235
2017-01-12,2143.5,2218.0,2140.5,2218.0,1080
2017-01-13,2218.0,2305.0,2191.5,2290.0,1646
2017-01-16,2290.0,2326.0,2259.0,2271.0,1583
2017-01-17,2271.0,2303.0,2225.0,2290.0,1280
2017-01-18,2290.0,2313.0,2265.5,2306.5,1271
2017-01-19,2306.5,2320.0,2270.0,2275.0,1034
2017-01-20,2275.0,2312.5,2242.0,2302.5,1131
2017-01-23,2302.5,2358.5,2302.5,2320.0,1000
2017-01-24,2330.0,2394.0,2325.0,2382.0,1237
2017-01-25,2382.0,2400.0,2348.0,2379.5,1195
2017-01-26,2379.5,2398.5,2300.0,2304.0,814
2017-01-27,2304.0,2330.5,2266.0,2275.0,1222
2017-01-30,2275.0,2364.0,2275.0,2349.5,1026
2017-01-31,2349.5,2382.0,2335.0,2349.5,821
2017-02-01,2361.0,2380.0,2325.5,2333.5,978
2017-02-02,2333.5,2352.0,2315.5,2342.5,578
2017-02-03,2342.5,2342.5,2277.5,2322.0,890
2017-02-06,2322.0,2357.0,2295.5,2340.0,912
2017-02-07,2340.0,2355.0,2314.0,2335.5,528
2017-02-08,2335.5,2403.0,2335.5,2390.5,905
2017-02-09,2390.5,2403.0,2322.0,2327.0,935
2017-02-10,2327.0,2408.0,2327.0,2402.0,1200
2017-02-13,2402.0,2458.5,2400.5,2421.0,1333
2017-02-14,2421.0,2444.0,2155.5,2365.0,1246
2017-02-15,2355.5,2379.0,2320.0,2321.5,1283
2017-02-16,2321.5,2348.0,2271.0,2297.5,1332
2017-02-17,2297.5,2297.5,2250.0,2253.0,1101
2017-02-20,2253.0,2324.5,2253.0,2316.0,829
2017-02-21,2316.0,2321.0,2264.5,2265.0,989
2017-02-22,2265.0,2298.0,2249.0,2280.5,1295
2017-02-23,2280.5,2285.0,2224.0,2233.5,1610
2017-02-24,2233.5,2266.0,2233.5,2259.5,897
2017-02-27,2259.5,2275.5,2236.0,2259.5,860
2017-02-28,2259.5,2280.0,2241.0,2249.0,994
2017-03-01,2249.0,2307.0,2246.5,2302.0,1244
2017-03-02,2302.0,2311.5,2235.0,2259.0,755
2017-03-03,2259.0,2269.0,2238.5,2249.0,768
2017-03-06,2249.0,2253.0,2199.5,2243.5,1334
2017-03-07,2243.5,2249.5,2208.5,2235.0,1318
2017-03-08,2235.0,2253.0,2221.0,2245.5,1203
2017-03-09,2245.5,2256.0,2203.0,2250.5,1419
2017-03-10,2250.5,2284.0,2230.0,2261.0,1053
2017-03-13,2261.0,2297.5,2261.0,2274.0,962
2017-03-14,2271.5,2285.0,2190.0,2233.5,1730
2017-03-15,2232.5,2259.0,2216.5,2250.0,1430
2017-03-16,2263.0,2285.5,2235.5,2248.0,1188
2017-03-17,2248.0,2294.0,2242.5,2292.5,1081
2017-03-20,2295.0,2315.0,2262.0,2270.5,1266
2017-03-21,2270.0,2300.0,2254.0,2271.0,1304
2017-03-22,2270.0,2373.0,2252.0,2370.0,2912
2017-03-23,2360.0,2391.5,2336.0,2368.5,1759
2017-03-24,2367.0,2373.5,2336.0,2353.0,1302
2017-03-27,2348.0,2349.0,2280.0,2296.0,2498
2017-03-28,2296.0,2340.0,2275.0,2326.5,1264
2017-03-29,2329.0,2351.0,2306.0,2343.0,1641
2017-03-30,2343.0,2357.0,2316.0,2329.0,1135
2017-03-31,2329.0,2347.0,2302.0,2333.5,1363
2017-04-03,2333.5,2340.0,2269.5,2286.5,1231
2017-04-04,2286.5,2318.0,2273.0,2313.5,768
2017-04-05,2313.5,2341.0,2301.0,2314.0,1344
2017-04-06,2314.0,2341.0,2285.0,2303.0,1177
2017-04-07,2303.0,2318.5,2220.0,2257.0,1944
2017-04-10,2257.0,2272.0,2234.5,2250.5,1419
2017-04-11,2250.5,2275.5,2216.5,2254.0,1918
2017-04-12,2254.0,2258.0,2228.5,2242.5,1194
2017-04-13,2242.5,2270.0,2235.0,2240.0,1158
2017-04-14,2242.5,2270.0,2235.0,2240.0,1158
2017-04-18,2239.0,2249.0,2098.0,2116.0,2589
2017-04-19,2116.0,2161.5,2115.0,2160.5,1818
2017-04-20,2160.5,2186.5,2129.0,2158.5,1764
2017-04-21,2158.5,2184.0,2115.0,2142.0,1408
2017-04-24,2142.0,2168.5,2133.5,2158.5,927
2017-04-25,2158.5,2187.5,2145.0,2169.0,951
2017-04-26,2169.0,2199.0,2155.5,2192.5,952
2017-04-27,2188.0,2217.0,2181.5,2213.0,1357
2017-04-28,2213.0,2260.0,2204.5,2250.0,1702
2017-05-01,2213.0,2260.0,2204.5,2250.0,1702
2017-05-02,2250.0,2276.5,2231.0,2242.5,1234
2017-05-03,2242.5,2262.5,2187.0,2194.5,1319
2017-05-04,2190.0,2202.0,2162.5,2195.0,1465
2017-05-05,2195.0,2195.0,2160.5,2179.0,1176
2017-05-08,2179.0,2181.5,2150.0,2166.0,1372
2017-05-09,2166.0,2190.5,2157.0,2168.5,1185
2017-05-10,2168.5,2198.0,2149.0,2190.5,1366
2017-05-11,2190.5,2219.5,2160.5,2177.0,1515
2017-05-12,2177.0,2184.5,2116.0,2124.0,1308
2017-05-15,2124.0,2145.5,2124.0,2131.0,996
2017-05-16,2131.0,2131.0,2080.5,2090.0,1354
