date,open,high,low,close,volume
2015-01-05,4.85,5.18,4.66,5.08,559280.98
2015-01-06,5.03,5.87,4.91,5.38,1027345.67
2015-01-07,5.28,5.38,5.14,5.29,400900.77
2015-01-08,5.29,5.33,5.04,5.15,388500.5
2015-01-09,5.16,5.44,5.15,5.2,424276.17
2015-01-12,5.22,5.49,5.19,5.42,424484.25
2015-01-13,5.41,5.6,5.36,5.58,440684.99
2015-01-14,5.58,5.58,5.33,5.39,286081.59
2015-01-15,5.39,5.45,5.29,5.36,216157.57
2015-01-16,5.44,5.84,5.43,5.63,531794.5
2015-01-19,5.43,5.92,5.25,5.31,555137.62
2015-01-20,5.29,5.62,5.29,5.56,384060.01
2015-01-21,5.65,5.89,5.53,5.82,616550.79
2015-01-22,5.82,5.85,5.65,5.77,434386.46
2015-01-23,5.76,5.95,5.66,5.91,660947.81
2015-01-26,5.92,5.96,5.77,5.91,581418.6
2015-01-27,5.89,5.9,5.57,5.68,504009.06
2015-01-28,5.67,5.78,5.58,5.65,333138.39
2015-01-29,5.59,5.92,5.52,5.91,603279.87
2015-01-30,5.95,5.95,5.67,5.69,378703.22
2015-02-02,5.61,5.63,5.35,5.4,426255.72
2015-02-03,5.49,5.57,5.38,5.54,238783.87
2015-02-04,5.55,5.66,5.44,5.44,225378.05
2015-02-05,5.58,5.58,5.17,5.18,442494.29
2015-02-06,5.21,5.32,5.06,5.07,206532.71
2015-02-09,5.1,5.23,5.09,5.12,152404.97
2015-02-10,5.18,5.26,5.13,5.21,156941.15
2015-02-11,5.22,5.28,5.18,5.21,181448.34
2015-02-12,5.22,5.33,5.17,5.25,202137.6
2015-02-13,5.26,5.51,5.26,5.36,343228.09
2015-02-16,5.44,5.52,5.38,5.48,275974.15
2015-02-17,5.57,5.65,5.44,5.5,364496.59
2015-02-25,5.51,5.64,5.46,5.51,293934.13
2015-02-26,5.51,5.92,5.49,5.86,670048.16
2015-02-27,5.83,6.05,5.81,5.85,527999.33
2015-03-02,5.9,5.9,5.73,5.8,509239.84
2015-03-03,5.82,5.95,5.67,5.67,521330.23
2015-03-04,5.67,5.9,5.67,5.86,423734.29
2015-03-05,5.86,5.87,5.66,5.73,369787.32
2015-03-06,5.76,6.06,5.74,5.94,686046.91
2015-03-09,5.87,6.0,5.71,5.98,426070.5
2015-03-10,5.95,6.29,5.91,6.1,653248.27
2015-03-11,6.05,6.11,5.87,5.94,443247.28
2015-03-12,6.0,6.14,5.85,6.08,489429.8
2015-03-13,6.07,6.09,5.94,5.96,340771.2
2015-03-16,5.98,6.29,5.97,6.19,647567.28
2015-03-17,6.19,6.47,6.14,6.31,801469.5
2015-03-18,6.35,6.53,6.32,6.49,760568.84
2015-03-19,6.49,6.56,6.37,6.46,577191.07
2015-03-20,6.57,6.99,6.5,6.94,966390.6
2015-03-23,7.09,7.17,6.78,6.99,950291.92
2015-03-24,7.03,7.03,6.57,6.89,837035.65
2015-03-25,6.9,6.9,6.54,6.66,739123.98
2015-03-26,6.67,6.85,6.56,6.81,651849.61
2015-03-27,6.81,7.85,6.75,7.85,1321766.91
2015-03-30,8.16,8.96,8.08,8.45,1902992.11
2015-03-31,8.45,8.85,8.16,8.41,1217569.84
2015-04-01,8.48,9.61,8.48,9.61,805172.07
2015-04-02,10.18,10.7,9.84,10.1,1770354.25
2015-04-03,10.18,10.45,9.7,10.28,1165836.82
2015-04-07,10.21,10.45,9.8,9.95,1186468.52
2015-04-08,9.85,9.85,9.13,9.49,1205227.57
2015-04-09,9.23,10.06,9.22,9.78,1344436.74
2015-04-10,9.72,9.99,9.55,9.78,833142.01
2015-04-13,9.73,10.09,9.44,9.92,1014235.29
2015-04-14,9.86,10.36,9.73,9.96,1045078.19
2015-04-15,9.77,9.78,8.79,8.86,1122344.38
2015-04-16,8.67,9.4,8.65,9.05,801362.7
2015-04-17,9.15,9.44,9.08,9.21,865834.14
2015-04-20,9.23,9.94,8.86,9.37,1157314.3
2015-04-21,9.58,9.7,9.26,9.66,718174.37
2015-04-22,9.84,10.98,9.84,10.56,1458635.42
2015-04-23,10.59,10.98,10.14,10.38,1191080.19
2015-04-24,10.3,10.65,9.84,10.19,943835.68
2015-04-27,10.33,10.74,10.16,10.71,1261030.3
2015-04-28,10.72,10.76,9.65,9.82,1035564.23
2015-04-29,9.44,9.78,9.32,9.71,743350.04
2015-04-30,9.75,10.18,9.59,9.96,849265.98
2015-05-04,9.95,10.41,9.73,10.2,693730.01
2015-05-05,10.21,10.22,9.14,9.26,625271.41
2015-05-06,9.49,9.64,8.67,8.83,580439.09
2015-05-07,8.86,9.02,8.49,8.51,402824.81
2015-05-08,8.65,8.89,8.45,8.84,523308.74
2015-05-11,8.85,9.83,8.75,9.46,844612.48
