date,open,high,low,close,volume
2016-07-18,2.775,2.799,2.708,2.735,0
2016-07-19,2.733,2.787,2.714,2.72,0
2016-07-20,2.722,2.73,2.648,2.654,0
2016-07-21,2.665,2.707,2.625,2.688,0
2016-07-22,2.687,2.795,2.66,2.781,0
2016-07-25,2.779,2.818,2.728,2.731,0
2016-07-26,2.733,2.772,2.682,2.693,0
2016-07-27,2.691,2.75,2.654,2.672,0
2016-07-28,2.673,2.893,2.651,2.857,0
2016-07-29,2.856,2.911,2.837,2.855,0
2016-08-01,2.839,2.876,2.768,2.774,0
2016-08-02,2.772,2.799,2.728,2.737,0
2016-08-03,2.734,2.866,2.722,2.845,0
2016-08-04,2.841,2.885,2.81,2.825,0
2016-08-05,2.829,2.832,2.756,2.761,0
2016-08-08,2.749,2.761,2.705,2.739,0
2016-08-09,2.737,2.744,2.605,2.618,0
2016-08-10,2.619,2.65,2.551,2.573,0
2016-08-11,2.57,2.605,2.529,2.535,0
2016-08-12,2.534,2.625,2.523,2.595,0
2016-08-15,2.565,2.636,2.561,2.592,0
2016-08-16,2.587,2.63,2.58,2.629,0
2016-08-17,2.627,2.648,2.585,2.612,0
2016-08-18,2.615,2.697,2.602,2.66,0
2016-08-19,2.662,2.67,2.569,2.571,0
2016-08-22,2.597,2.696,2.596,2.671,0
2016-08-23,2.673,2.765,2.652,2.76,0
2016-08-24,2.762,2.819,2.749,2.79,0
2016-08-25,2.792,2.863,2.749,2.834,0
2016-08-26,2.841,2.907,2.797,2.854,0
2016-08-29,2.847,2.896,2.831,2.853,0
2016-08-30,2.894,2.943,2.815,2.831,0
2016-08-31,2.831,2.9,2.808,2.88,0
2016-09-01,2.879,2.89,2.785,2.805,0
2016-09-02,2.804,2.825,2.77,2.791,0
2016-09-05,2.766,2.77,2.728,2.755,0
2016-09-06,2.763,2.769,2.708,2.723,0
2016-09-07,2.725,2.743,2.665,2.686,0
2016-09-08,2.681,2.821,2.679,2.798,0
2016-09-09,2.807,2.844,2.783,2.797,0
2016-09-12,2.82,2.924,2.797,2.903,0
2016-09-13,2.903,2.942,2.887,2.902,0
2016-09-14,2.899,2.978,2.852,2.898,0
2016-09-15,2.895,2.944,2.834,2.913,0
2016-09-16,2.918,2.963,2.866,2.956,0
2016-09-19,2.955,2.958,2.89,2.938,0
2016-09-20,2.936,3.072,2.935,3.066,0
2016-09-21,3.078,3.098,3.029,3.069,0
2016-09-22,3.071,3.091,2.981,2.993,0
2016-09-23,2.995,3.021,2.933,2.976,0
2016-09-26,2.965,3.018,2.949,3.009,0
2016-09-27,3.01,3.023,2.977,2.987,0
2016-09-28,2.994,2.994,2.905,2.952,0
2016-09-29,3.014,3.032,2.956,2.966,0
2016-09-30,2.965,2.977,2.892,2.903,0
2016-10-03,2.904,2.937,2.866,2.906,0
2016-10-04,2.907,2.99,2.878,2.974,0
2016-10-05,2.977,3.058,2.922,3.033,0
2016-10-06,3.03,3.071,2.972,3.037,0
2016-10-07,3.033,3.218,3.015,3.172,0
2016-10-10,3.194,3.289,3.154,3.275,0
2016-10-11,3.272,3.3,3.209,3.246,0
2016-10-12,3.223,3.26,3.184,3.214,0
2016-10-13,3.213,3.366,3.164,3.343,0
2016-10-14,3.345,3.362,3.264,3.284,0
2016-10-17,3.258,3.271,3.211,3.252,0
2016-10-18,3.254,3.317,3.248,3.256,0
2016-10-19,3.261,3.261,3.144,3.169,0
2016-10-20,3.175,3.201,3.101,3.121,0
2016-10-21,3.12,3.121,2.955,2.961,0
2016-10-24,3.007,3.044,2.827,2.851,0
2016-10-25,2.849,2.879,2.755,2.757,0
2016-10-26,2.755,2.776,2.627,2.745,0
2016-10-27,2.746,2.793,2.684,2.764,0
2016-10-28,3.081,3.125,3.016,3.114,0
2016-10-31,3.151,3.163,2.978,2.98,0
2016-11-01,2.982,3.029,2.85,2.854,0
2016-11-02,2.855,2.889,2.769,2.777,0
2016-11-03,2.776,2.84,2.725,2.816,0
2016-11-04,2.815,2.82,2.741,2.781,0
2016-11-07,2.848,2.875,2.781,2.829,0
2016-11-08,2.832,2.856,2.607,2.617,0
2016-11-09,2.614,2.743,2.546,2.703,0
2016-11-10,2.691,2.728,2.575,2.655,0
2016-11-11,2.656,2.685,2.555,2.626,0
2016-11-14,2.667,2.778,2.626,2.749,0
2016-11-15,2.746,2.822,2.694,2.705,0
2016-11-16,2.71,2.782,2.669,2.77,0
2016-11-17,2.767,2.798,2.681,2.694,0
