date,open,high,low,close,volume
2016-07-18,10205,10590.0,10140.0,10590.0,1479
2016-07-19,10590,10660.0,10340.0,10475.0,1539
2016-07-20,10475,10595.0,10305.0,10570.0,1330
2016-07-21,10570,10895.0,10530.0,10735.0,1573
2016-07-22,10735,10735.0,10375.0,10375.0,1158
2016-07-25,10375,10540.0,10360.0,10480.0,948
2016-07-26,10480,10480.0,10230.0,10350.0,1025
2016-07-27,10350,10475.0,10260.0,10330.0,997
2016-07-28,10330,10725.0,10330.0,10715.0,1028
2016-07-29,10695,10720.0,10470.0,10635.0,1173
2016-08-01,10635,10800.0,10600.0,10740.0,868
2016-08-02,10740,10860.0,10555.0,10725.0,1342
2016-08-03,10725,10780.0,10585.0,10750.0,1194
2016-08-04,10765,10770.0,10440.0,10560.0,1086
2016-08-05,10560,10720.0,10515.0,10710.0,991
2016-08-08,10710,10850.0,10645.0,10730.0,842
2016-08-09,10730,10800.0,10655.0,10790.0,736
2016-08-10,10790,11030.0,10685.0,10830.0,1130
2016-08-11,10800,10815.0,10705.0,10730.0,635
2016-08-12,10745,10780.0,10285.0,10295.0,1287
2016-08-15,10295,10510.0,10275.0,10450.0,1001
2016-08-16,10450,10485.0,10240.0,10245.0,1126
2016-08-17,10245,10370.0,10175.0,10235.0,1128
2016-08-18,10235,10425.0,10235.0,10330.0,673
2016-08-19,10330,10405.0,10265.0,10355.0,660
2016-08-22,10355,10360.0,10160.0,10270.0,658
2016-08-23,10270,10310.0,10210.0,10240.0,563
2016-08-24,10280,10280.0,9955.0,9985.0,779
2016-08-25,10000,10000.0,9810.0,9835.0,1065
2016-08-26,9835,9950.0,9785.0,9825.0,865
2016-08-30,9825,9895.0,9750.0,9820.0,712
2016-08-31,9820,9880.0,9765.0,9770.0,1267
2016-09-01,9770,9955.0,9770.0,9930.0,1072
2016-09-02,9930,10100.0,9910.0,10035.0,901
2016-09-05,10035,10095.0,9960.0,10025.0,556
2016-09-06,10050,10225.0,10020.0,10115.0,748
2016-09-07,10115,10260.0,10090.0,10225.0,634
2016-09-08,10225,10370.0,10170.0,10290.0,901
2016-09-09,10290,10440.0,10260.0,10355.0,860
2016-09-12,10320,10345.0,9950.0,10090.0,2024
2016-09-13,10090,10155.0,9850.0,9900.0,875
2016-09-14,9900,9960.0,9780.0,9870.0,919
2016-09-15,9870,9940.0,9700.0,9715.0,789
2016-09-16,9715,9760.0,9630.0,9725.0,678
2016-09-19,9745,10160.0,9745.0,10160.0,1118
2016-09-20,10160,10315.0,10080.0,10275.0,884
2016-09-21,10280,10385.0,10180.0,10325.0,833
2016-09-22,10325,10660.0,10325.0,10655.0,1341
2016-09-23,10660,10715.0,10520.0,10640.0,1004
2016-09-26,10640,10640.0,10420.0,10465.0,849
2016-09-27,10465,10900.0,10250.0,10695.0,2017
2016-09-28,10695,10730.0,10570.0,10700.0,1005
2016-09-29,10700,10825.0,10380.0,10410.0,1540
2016-09-30,10410,10700.0,10350.0,10515.0,1090
2016-10-03,10510,10635.0,10175.0,10315.0,1212
2016-10-04,10315,10375.0,10015.0,10050.0,1189
2016-10-05,10050,10150.0,9945.0,10085.0,756
2016-10-06,10085,10270.0,10050.0,10260.0,690
2016-10-07,10260,10380.0,10165.0,10220.0,680
2016-10-10,10220,10550.0,10220.0,10540.0,1204
2016-10-11,10540,10560.0,10360.0,10440.0,1075
2016-10-12,10440,10620.0,10425.0,10580.0,916
2016-10-13,10580,10595.0,10360.0,10415.0,1102
2016-10-14,10415,10510.0,10370.0,10480.0,757
2016-10-17,10480,10500.0,10285.0,10315.0,800
2016-10-18,10315,10470.0,10305.0,10440.0,555
2016-10-19,10440,10460.0,10175.0,10315.0,878
2016-10-20,10315,10345.0,10115.0,10125.0,783
2016-10-21,10125,10170.0,9960.0,9975.0,847
2016-10-24,9975,10175.0,9970.0,10160.0,924
2016-10-25,10160,10350.0,10140.0,10235.0,1150
2016-10-26,10235,10290.0,10135.0,10225.0,841
2016-10-27,10225,10390.0,10100.0,10340.0,775
2016-10-28,10340,10445.0,10310.0,10380.0,830
2016-10-31,10380,10585.0,10330.0,10400.0,1034
2016-11-01,10410,10555.0,10385.0,10420.0,919
2016-11-02,10435,10475.0,10290.0,10330.0,1136
2016-11-03,10340,10540.0,10340.0,10485.0,722
2016-11-04,10490,10520.0,10410.0,10425.0,686
2016-11-07,10450,11225.0,10440.0,11210.0,2516
2016-11-08,11210,11370.0,11035.0,11220.0,2667
2016-11-09,11220,11660.0,10835.0,11655.0,3839
2016-11-10,11655,11900.0,11420.0,11475.0,2949
2016-11-11,11475,12145.0,11025.0,11205.0,5755
2016-11-14,11175,11450.0,11080.0,11355.0,2370
2016-11-15,11305,11530.0,11060.0,11365.0,1817
2016-11-16,11330,11440.0,11175.0,11330.0,1496
2016-11-17,11300,11330.0,11185.0,11195.0,962
2016-11-18,11195,11225.0,10845.0,10925.0,1643
2016-11-21,10925,11400.0,10925.0,11370.0,1442
2016-11-22,11370,11550.0,11320.0,11345.0,1474
2016-11-23,11345,11645.0,11275.0,11630.0,1306
2016-11-24,11630,11755.0,11525.0,11560.0,1596
2016-11-25,11560,11740.0,11410.0,11690.0,1633
2016-11-28,11645,11900.0,11490.0,11520.0,1735
2016-11-29,11555,11630.0,10995.0,11150.0,2223
2016-11-30,11150,11250.0,10870.0,11170.0,2222
2016-12-01,11200,11320.0,11110.0,11200.0,1443
2016-12-02,11205,11555.0,11080.0,11480.0,1523
2016-12-05,11500,11755.0,11445.0,11625.0,1356
2016-12-06,11625,11715.0,11520.0,11615.0,1048
2016-12-07,11615,11725.0,11375.0,11410.0,1636
2016-12-08,11410,11495.0,11060.0,11150.0,1307
2016-12-09,11150,11480.0,11150.0,11470.0,1278
2016-12-12,11500,11670.0,11260.0,11335.0,1337
2016-12-13,11350,11525.0,11230.0,11380.0,1308
2016-12-14,11380,11520.0,11300.0,11470.0,1371
2016-12-15,11470,11560.0,11235.0,11260.0,1622
2016-12-16,11280,11415.0,11135.0,11180.0,1324
2016-12-19,11200,11225.0,10685.0,10895.0,1640
2016-12-20,10890,11030.0,10880.0,10945.0,970
2016-12-21,10945,11025.0,10820.0,10820.0,933
2016-12-22,10820,10920.0,10565.0,10785.0,1200
2016-12-23,10800,10800.0,10390.0,10430.0,951
2016-12-27,10430,10430.0,10430.0,10430.0,1
2016-12-28,10450,10450.0,10095.0,10115.0,1684
2016-12-29,10120,10205.0,10030.0,10150.0,923
2016-12-30,10150,10185.0,10000.0,10055.0,819
2017-01-03,10030,10265.0,9910.0,9970.0,1416
2017-01-04,9970,10255.0,9890.0,10215.0,1428
2017-01-05,10210,10375.0,10160.0,10245.0,1479
2017-01-06,10245,10315.0,10155.0,10295.0,804
2017-01-09,10295,10400.0,10260.0,10380.0,890
2017-01-10,10380,10630.0,10325.0,10535.0,1099
2017-01-11,10550,10590.0,10020.0,10095.0,1932
2017-01-12,10150,10350.0,9660.0,10325.0,3770
2017-01-13,10300,10460.0,10050.0,10405.0,1677
2017-01-16,10410,10425.0,10235.0,10255.0,950
2017-01-17,10255,10340.0,10085.0,10145.0,1134
2017-01-18,10145,10260.0,10140.0,10170.0,912
2017-01-19,10190,10230.0,9865.0,9910.0,1601
2017-01-20,9910,10000.0,9640.0,9690.0,1908
2017-01-23,9720,9940.0,9710.0,9785.0,1900
2017-01-24,9785,9890.0,9710.0,9825.0,1255
2017-01-25,9825,9840.0,9555.0,9735.0,1379
2017-01-26,9735,9875.0,9350.0,9350.0,1299
2017-01-27,9350,9550.0,9350.0,9550.0,1246
2017-01-30,9550,9745.0,9505.0,9730.0,1118
2017-01-31,9730,10015.0,9695.0,9965.0,1200
2017-02-01,9965,10280.0,9965.0,10280.0,1443
2017-02-02,10280,10500.0,10190.0,10340.0,1560
2017-02-03,10310,10340.0,10025.0,10280.0,2302
2017-02-06,10280,10475.0,10275.0,10455.0,1152
2017-02-07,10450,10450.0,10285.0,10350.0,908
2017-02-08,10350,10545.0,10330.0,10475.0,896
2017-02-09,10475,10485.0,10270.0,10285.0,905
2017-02-10,10305,10665.0,10260.0,10650.0,1325
2017-02-13,10650,10785.0,10635.0,10685.0,1245
2017-02-14,10690,10895.0,10650.0,10790.0,1360
2017-02-15,10770,10930.0,10690.0,10910.0,1079
