date,inventory
2022-12-01,30356
2022-12-02,27385
2022-12-05,26392
2022-12-06,26392
2022-12-07,26367
2022-12-08,19753
2022-12-09,20929
2022-12-12,23775
2022-12-13,24100
2022-12-14,26711
2022-12-15,32279
2022-12-16,31550
2022-12-19,30220
2022-12-20,27943
2022-12-21,27492
2022-12-22,26937
2022-12-23,26182
2022-12-26,25349
2022-12-27,25804
2022-12-28,26183
2022-12-29,28772
2022-12-30,29997
2023-01-03,30372
2023-01-04,29149
2023-01-05,27347
2023-01-06,27298
2023-01-09,28086
2023-01-10,28086
2023-01-11,30556
2023-01-12,47197
2023-01-13,53919
2023-01-16,73396
2023-01-17,79197
2023-01-18,81172
2023-01-19,83199
2023-01-20,87182
2023-01-30,101547
2023-01-31,102652
2023-02-01,104607
2023-02-02,108348
2023-02-03,110386
2023-02-06,112577
2023-02-07,112362
2023-02-08,112437
2023-02-09,115045
2023-02-10,114084
2023-02-13,120313
2023-02-14,120564
2023-02-15,132004
2023-02-16,132530
2023-02-17,131286
2023-02-20,131087
2023-02-21,133809
2023-02-22,133795
2023-02-23,139991
2023-02-24,139843
2023-02-27,140242
2023-02-28,140809
2023-03-01,143014
2023-03-02,142024
2023-03-03,140557
2023-03-06,138696
2023-03-07,135101
2023-03-08,134853
2023-03-09,129122
2023-03-10,121826
2023-03-13,117358
2023-03-14,114990
2023-03-15,119347
2023-03-16,115862
2023-03-17,108129
2023-03-20,97416
2023-03-21,92184
2023-03-22,89714
2023-03-23,87610
2023-03-24,81992
2023-03-27,76932
2023-03-28,73952
2023-03-29,72766
2023-03-30,72058
2023-03-31,71301
2023-04-03,70698
2023-04-04,67450
2023-04-06,65932
2023-04-07,63903
2023-04-10,63147
2023-04-11,62661
2023-04-12,66123
2023-04-13,65772
2023-04-14,71606
2023-04-17,81807
2023-04-18,80956
2023-04-19,79781
2023-04-20,75092
2023-04-21,68000
2023-04-24,59813
2023-04-25,58491
2023-04-26,59676
2023-04-27,59251
2023-04-28,62331
2023-05-04,61162
2023-05-05,59609
2023-05-08,53515
2023-05-09,52814
2023-05-10,55024
2023-05-11,55573
2023-05-12,59273
2023-05-15,61521
2023-05-16,61666
2023-05-17,60486
2023-05-18,57736
2023-05-19,51349
2023-05-22,45958
2023-05-23,45456
2023-05-24,45156
2023-05-25,44855
2023-05-26,42901
2023-05-29,42102
2023-05-30,42028
2023-05-31,42404
2023-06-01,42055
2023-06-02,40494
2023-06-05,42930
2023-06-06,42427
2023-06-07,37588
2023-06-08,36580
2023-06-09,30801
2023-06-12,26277
2023-06-13,27277
2023-06-14,26502
2023-06-15,30753
2023-06-16,31128
2023-06-19,30002
2023-06-20,28203
2023-06-21,22278
2023-06-26,20229
2023-06-27,19904
2023-06-28,20205
2023-06-29,20005
2023-06-30,18605
2023-07-03,18005
2023-07-04,17804
2023-07-05,17305
2023-07-06,16479
2023-07-07,16429
2023-07-10,16154
2023-07-11,17431
2023-07-12,18510
2023-07-13,20894
2023-07-14,24079
2023-07-17,36340
2023-07-18,36011
2023-07-19,35783
2023-07-20,34781
2023-07-21,31643
2023-07-24,27984
2023-07-25,25048
2023-07-26,22041
2023-07-27,19713
2023-07-28,16189
2023-07-31,12740
2023-08-01,13066
2023-08-02,12263
2023-08-03,11161
2023-08-04,10711
2023-08-07,11159
2023-08-08,12563
2023-08-09,14264
2023-08-10,14189
2023-08-11,14414
2023-08-14,19614
2023-08-15,19812
2023-08-16,20488
2023-08-17,20413
2023-08-18,15936
2023-08-21,14085
2023-08-22,12186
