date,open,high,low,close,volume
2016-07-18,20.23,20.29,19.77,20.11,0
2016-07-19,20.11,20.12,19.87,19.97,0
2016-07-20,19.97,20.05,19.38,19.47,0
2016-07-21,19.45,19.93,19.27,19.83,0
2016-07-22,19.86,20.02,19.62,19.69,0
2016-07-25,19.69,19.76,19.35,19.6,0
2016-07-26,19.62,19.8,19.49,19.68,0
2016-07-27,19.7,20.47,19.57,20.42,0
2016-07-28,20.42,20.58,20.15,20.21,0
2016-07-29,20.22,20.45,20.0,20.38,0
2016-08-01,20.38,20.69,20.33,20.49,0
2016-08-02,20.53,20.83,20.38,20.66,0
2016-08-03,20.67,20.77,20.4,20.44,0
2016-08-04,20.43,20.55,20.08,20.38,0
2016-08-05,20.41,20.47,19.71,19.72,0
2016-08-08,19.55,19.89,19.51,19.75,0
2016-08-09,19.76,19.9,19.6,19.87,0
2016-08-10,19.91,20.51,19.9,20.17,0
2016-08-11,20.19,20.34,19.9,19.98,0
2016-08-12,20.0,20.23,19.66,19.72,0
2016-08-15,19.75,20.05,19.7,19.82,0
2016-08-16,19.84,20.12,19.71,19.79,0
2016-08-17,19.82,19.89,19.37,19.69,0
2016-08-18,19.66,19.94,19.62,19.75,0
2016-08-19,19.77,19.8,19.22,19.3,0
2016-08-22,19.24,19.25,18.71,18.87,0
2016-08-23,18.86,19.09,18.77,18.78,0
2016-08-24,18.8,18.96,18.5,18.5,0
2016-08-25,18.52,18.62,18.44,18.5,0
2016-08-26,18.5,19.03,18.47,18.63,0
2016-08-29,18.61,18.88,18.37,18.85,0
2016-08-30,18.84,18.94,18.55,18.57,0
2016-08-31,18.58,18.79,18.52,18.63,0
2016-09-01,18.71,18.99,18.65,18.95,0
2016-09-02,18.95,19.53,18.82,19.52,0
2016-09-05,19.48,19.64,19.38,19.61,0
2016-09-06,19.59,20.22,19.55,20.15,0
2016-09-07,20.11,20.23,19.81,19.87,0
2016-09-08,19.87,20.02,19.63,19.69,0
2016-09-09,19.69,19.72,19.08,19.13,0
2016-09-12,19.2,19.24,18.76,19.17,0
2016-09-13,19.15,19.35,18.85,18.92,0
2016-09-14,18.94,19.17,18.84,19.01,0
2016-09-15,19.02,19.28,18.87,19.03,0
2016-09-16,19.06,19.08,18.71,18.83,0
2016-09-19,18.84,19.38,18.84,19.22,0
2016-09-20,19.23,19.36,19.14,19.3,0
2016-09-21,19.32,19.95,19.07,19.91,0
2016-09-22,19.91,20.14,19.78,19.94,0
2016-09-23,19.96,20.02,19.66,19.77,0
2016-09-26,19.74,19.82,19.42,19.52,0
2016-09-27,19.51,19.61,19.04,19.22,0
2016-09-28,19.17,19.27,18.97,19.25,0
2016-09-29,19.27,19.46,19.05,19.17,0
2016-09-30,19.15,19.77,19.12,19.24,0
2016-10-03,19.27,19.38,18.75,18.85,0
2016-10-04,18.87,18.94,17.74,17.82,0
2016-10-05,17.81,18.04,17.58,17.78,0
2016-10-06,17.78,17.88,17.14,17.33,0
2016-10-07,17.34,17.68,17.11,17.57,0
2016-10-10,17.6,17.84,17.57,17.65,0
2016-10-11,17.66,17.85,17.46,17.5,0
2016-10-12,17.49,17.64,17.38,17.5,0
2016-10-13,17.51,17.7,17.43,17.51,0
2016-10-14,17.52,17.6,17.31,17.42,0
2016-10-17,17.45,17.51,17.36,17.48,0
2016-10-18,17.46,17.73,17.45,17.63,0
2016-10-19,17.62,17.79,17.45,17.69,0
2016-10-20,17.69,17.79,17.45,17.52,0
2016-10-21,17.53,17.56,17.39,17.53,0
2016-10-24,17.52,19.13,17.46,17.63,0
2016-10-25,17.6,17.82,17.51,17.77,0
2016-10-26,17.77,17.87,17.57,17.62,0
2016-10-27,17.63,17.72,17.54,17.62,0
2016-10-28,17.6,17.93,17.51,17.75,0
2016-10-31,17.8,17.92,17.75,17.9,0
2016-11-01,17.89,18.51,17.85,18.37,0
2016-11-02,18.37,18.75,18.36,18.49,0
2016-11-03,18.5,18.64,17.99,18.35,0
2016-11-04,18.36,18.48,18.18,18.42,0
2016-11-07,18.27,18.42,18.0,18.17,0
2016-11-08,18.2,18.73,18.17,18.36,0
2016-11-09,18.37,19.0,18.27,18.47,0
2016-11-10,18.46,18.99,18.38,18.6,0
2016-11-11,18.6,18.85,17.17,17.36,0
2016-11-14,17.39,17.49,16.62,16.91,0
2016-11-15,16.92,17.13,16.82,17.06,0
2016-11-16,17.08,17.23,16.85,16.98,0
2016-11-17,16.96,17.08,16.57,16.65,0
2016-11-18,16.66,16.74,16.43,16.54,0
2016-11-21,16.6,16.75,16.5,16.57,0
2016-11-22,16.58,16.88,16.52,16.63,0
2016-11-23,16.64,16.72,16.15,16.35,0
2016-11-24,16.37,16.39,16.21,16.31,0
2016-11-25,16.32,16.57,16.15,16.52,0
2016-11-28,16.46,16.85,16.43,16.57,0
2016-11-29,16.6,16.7,16.39,16.58,0
2016-11-30,16.6,16.71,16.39,16.48,0
2016-12-01,16.55,16.73,16.3,16.56,0
2016-12-02,16.58,16.87,16.37,16.8,0
2016-12-05,16.94,17.05,16.54,16.81,0
2016-12-06,16.78,16.95,16.74,16.78,0
2016-12-07,16.77,17.3,16.7,17.18,0
2016-12-08,17.2,17.29,17.02,17.09,0
2016-12-09,17.07,17.18,16.85,16.91,0
2016-12-12,16.92,17.26,16.73,17.14,0
2016-12-13,17.13,17.23,16.83,16.96,0
2016-12-14,16.97,17.29,16.8,16.89,0
2016-12-15,16.85,17.0,15.92,16.02,0
2016-12-16,15.98,16.33,15.97,16.14,0
2016-12-19,16.11,16.26,15.95,16.02,0
2016-12-20,16.01,16.16,15.67,16.14,0
2016-12-21,16.15,16.24,15.95,15.97,0
2016-12-22,16.0,16.08,15.81,15.83,0
2016-12-23,15.85,15.9,15.73,15.78,0
2016-12-26,15.78,15.78,15.78,15.78,0
2016-12-27,15.81,16.1,15.75,16.02,0
2016-12-28,16.01,16.14,15.86,16.05,0
2016-12-29,16.07,16.31,16.04,16.2,0
2016-12-30,16.22,16.34,15.88,15.96,0
2017-01-02,15.96,15.96,15.96,15.96,0
2017-01-03,15.97,16.55,15.93,16.35,0
2017-01-04,16.35,16.57,16.3,16.48,0
2017-01-05,16.5,16.76,16.46,16.62,0
2017-01-06,16.63,16.71,16.26,16.51,0
2017-01-09,16.5,16.73,16.45,16.6,0
2017-01-10,16.61,16.95,16.57,16.82,0
2017-01-11,16.84,16.9,16.56,16.76,0
2017-01-12,16.77,17.02,16.75,16.8,0
2017-01-13,16.8,16.85,16.61,16.83,0
2017-01-16,16.84,16.96,16.8,16.82,0
2017-01-17,16.83,17.24,16.82,17.22,0
2017-01-18,17.23,17.36,17.06,17.07,0
2017-01-19,17.07,17.12,16.75,17.03,0
2017-01-20,17.02,17.19,16.84,17.11,0
2017-01-23,17.12,17.28,17.07,17.25,0
2017-01-24,17.26,17.31,17.02,17.11,0
2017-01-25,17.12,17.13,16.78,17.01,0
2017-01-26,17.0,17.05,16.68,16.79,0
2017-01-27,16.8,17.26,16.63,17.15,0
2017-01-30,17.17,17.29,17.08,17.12,0
2017-01-31,17.13,17.63,17.1,17.57,0
2017-02-01,17.57,17.66,17.36,17.54,0
2017-02-02,17.56,17.74,17.41,17.48,0
2017-02-03,17.48,17.54,17.26,17.52,0
2017-02-06,17.51,17.76,17.46,17.74,0
2017-02-07,17.74,17.79,17.56,17.7,0
2017-02-08,17.7,17.87,17.62,17.78,0
2017-02-09,17.77,17.84,17.61,17.64,0
2017-02-10,17.63,18.02,17.54,17.95,0
2017-02-13,17.94,18.01,17.75,17.81,0
2017-02-14,17.81,18.09,17.73,17.95,0
2017-02-15,17.96,17.99,17.75,17.98,0
2017-02-16,17.97,18.14,17.93,18.09,0
2017-02-17,18.06,18.09,17.97,17.97,0
2017-02-20,17.99,18.06,17.91,18.04,0
2017-02-21,18.03,18.07,17.81,17.95,0
2017-02-22,17.96,18.04,17.9,18.0,0
2017-02-23,17.99,18.21,17.92,18.16,0
2017-02-24,18.15,18.39,18.14,18.34,0
2017-02-27,18.36,18.47,18.2,18.24,0
2017-02-28,18.31,18.51,18.24,18.36,0
2017-03-01,18.36,18.51,18.27,18.46,0
