date,open,high,low,close,volume
2015-01-02,28.06,28.59,28.01,28.44,1257200.0
2015-01-05,27.91,27.97,26.9,27.04,1880100.0
2015-01-06,27.04,27.48,26.98,27.07,2306300.0
2015-01-07,27.14,27.67,26.98,27.54,1296000.0
2015-01-08,27.8,28.42,27.67,28.33,1166400.0
2015-01-09,28.35,28.55,28.23,28.38,882200.0
2015-01-12,27.92,28.1,27.3,27.89,1826300.0
2015-01-13,27.53,27.72,26.28,26.55,3595300.0
2015-01-14,24.85,25.64,23.6,25.56,8284100.0
2015-01-15,25.95,26.26,25.39,25.68,3496100.0
2015-01-16,25.9,27.19,25.83,27.09,3678300.0
2015-01-20,27.0,27.16,26.69,27.05,2283900.0
2015-01-21,27.06,27.88,26.92,27.81,1926500.0
2015-01-22,28.09,28.49,28.04,28.27,1693700.0
2015-01-23,27.66,27.81,27.09,27.12,1885400.0
2015-01-26,27.0,27.9,26.84,27.66,1730800.0
2015-01-27,26.45,27.3,26.4,26.98,2669300.0
2015-01-28,26.95,27.4,26.64,26.7,1678100.0
2015-01-29,26.66,26.73,26.13,26.62,1993200.0
2015-01-30,26.37,27.64,26.15,27.28,3026700.0
2015-02-02,27.47,27.87,27.04,27.37,2338600.0
2015-02-03,27.98,28.94,27.97,28.9,3437800.0
2015-02-04,28.56,29.89,28.49,29.22,3327600.0
2015-02-05,29.07,29.86,28.68,29.74,2693900.0
2015-02-06,29.18,29.55,29.07,29.13,1772000.0
2015-02-09,29.19,29.85,29.09,29.59,1267000.0
2015-02-10,29.35,29.7,29.06,29.54,1900300.0
2015-02-11,29.42,29.47,28.85,29.27,2591900.0
2015-02-12,29.76,30.15,29.7,30.13,1716300.0
2015-02-13,30.43,30.95,30.19,30.43,1478200.0
2015-02-17,30.06,30.68,30.03,30.46,1255100.0
2015-02-18,30.4,30.95,30.3,30.72,1181600.0
2015-02-19,30.48,30.54,30.09,30.18,1194900.0
2015-02-20,30.1,30.3,30.04,30.2,1042600.0
2015-02-23,29.8,30.18,29.62,30.08,1289900.0
2015-02-24,30.4,30.52,30.03,30.07,1313500.0
2015-02-25,30.19,30.21,29.9,30.07,1078300.0
2015-02-26,30.2,30.27,29.86,29.91,1324800.0
2015-02-27,30.07,30.28,29.77,29.77,1613300.0
2015-03-02,29.72,30.29,29.56,29.82,1741600.0
2015-03-03,29.81,30.07,29.53,29.56,1175700.0
