date,open,high,low,close,volume
2015-01-02,22.45,22.46,22.0,22.28,6067075.0
2015-01-05,22.14,22.17,21.71,21.74,8521927.0
2015-01-06,21.32,21.58,21.16,21.36,9901687.0
2015-01-07,21.59,21.76,21.34,21.67,9975497.0
2015-01-08,21.69,22.01,21.67,21.81,15750925.0
2015-01-09,21.62,21.64,21.02,21.2,17575216.0
2015-01-12,21.06,21.09,20.69,20.79,24668788.0
2015-01-13,21.02,21.3,20.99,21.05,11015653.0
2015-01-14,20.65,21.1,20.6,21.06,21484592.0
2015-01-15,22.59,23.13,21.91,22.89,36234476.0
2015-01-16,22.37,22.7,22.29,22.6,22239975.0
2015-01-20,22.6,23.19,22.47,23.09,23927681.0
2015-01-21,23.0,23.24,22.96,23.16,6974138.0
2015-01-22,23.2,23.72,22.89,23.71,25325506.0
2015-01-23,23.93,24.3,23.88,23.99,12996502.0
2015-01-26,23.95,24.19,23.89,24.16,14085916.0
2015-01-27,24.13,24.26,23.95,24.19,14607003.0
2015-01-28,24.44,24.49,23.85,23.93,16565122.0
2015-01-29,23.69,23.8,23.08,23.29,19264186.0
2015-01-30,22.99,23.12,22.67,22.71,17264464.0
2015-02-02,23.03,23.08,22.7,22.94,12814235.0
2015-02-03,23.34,23.44,23.06,23.15,16586000.0
2015-02-04,23.59,23.75,23.44,23.58,11265843.0
2015-02-05,23.72,23.76,23.31,23.66,12002574.0
2015-02-06,23.45,23.63,23.05,23.1,16208813.0
2015-02-09,22.92,22.94,22.49,22.67,12756931.0
2015-02-10,23.9,23.95,23.46,23.86,16806010.0
2015-02-11,23.88,24.35,23.77,24.29,14175502.0
2015-02-12,24.41,24.48,24.15,24.47,10131568.0
2015-02-13,24.45,24.96,24.4,24.84,11621279.0
2015-02-17,24.69,24.89,24.68,24.77,10485168.0
2015-02-18,24.69,24.85,24.61,24.71,7411775.0
2015-02-19,24.68,24.71,24.46,24.52,9929366.0
2015-02-20,24.7,24.71,24.3,24.44,7265872.0
