date,open,high,low,close,volume
2015-01-05,2.52,2.84,2.5,2.84,836107.97
2015-01-06,2.97,3.01,2.75,2.76,949905.23
2015-01-07,2.75,2.95,2.71,2.79,582130.19
2015-01-08,2.76,2.88,2.64,2.73,426616.19
2015-01-09,2.7,2.79,2.67,2.67,353744.4
2015-01-12,2.61,2.63,2.52,2.56,333341.61
2015-01-13,2.56,2.61,2.5,2.53,204240.05
2015-01-14,2.5,2.55,2.28,2.33,522922.05
2015-01-15,2.28,2.39,2.15,2.39,480266.68
2015-01-16,2.36,2.43,2.32,2.35,403071.83
2015-01-19,2.24,2.37,2.1,2.17,394814.13
2015-01-20,2.2,2.29,2.18,2.23,259705.9
2015-01-21,2.25,2.4,2.24,2.36,390979.01
2015-01-22,2.37,2.55,2.35,2.45,539859.12
2015-01-23,2.51,2.51,2.37,2.38,333286.28
2015-01-26,2.34,2.45,2.33,2.42,208722.19
2015-01-27,2.41,2.49,2.37,2.43,256387.23
2015-01-28,2.39,2.4,2.32,2.34,202015.62
2015-01-29,2.31,2.34,2.24,2.28,251013.87
2015-01-30,2.29,2.34,2.25,2.27,182846.41
2015-02-02,2.25,2.3,2.22,2.27,135582.91
2015-02-03,2.3,2.33,2.26,2.33,156641.58
2015-02-04,2.42,2.46,2.35,2.35,327481.86
2015-02-05,2.42,2.43,2.28,2.28,244326.93
2015-02-06,2.25,2.3,2.19,2.2,151533.54
2015-02-09,2.17,2.23,2.16,2.18,122245.82
2015-02-10,2.18,2.28,2.18,2.24,126570.4
2015-02-11,2.23,2.27,2.22,2.24,89413.14
2015-02-12,2.24,2.26,2.22,2.24,86312.08
2015-02-13,2.28,2.36,2.27,2.3,195080.67
2015-02-16,2.31,2.36,2.3,2.35,145100.33
2015-02-17,2.36,2.39,2.35,2.38,135365.58
2015-02-25,2.4,2.4,2.3,2.31,122006.15
2015-02-26,2.32,2.54,2.32,2.52,420123.15
2015-02-27,2.52,2.58,2.46,2.56,358781.43
2015-03-02,2.61,2.79,2.61,2.75,590817.42
2015-03-03,2.75,2.94,2.71,2.74,634795.83
2015-03-04,2.74,2.82,2.65,2.7,351539.49
2015-03-05,2.67,2.78,2.64,2.74,328927.12
2015-03-06,2.75,2.9,2.72,2.82,491576.38
2015-10-23,3.07,3.16,3.07,3.16,6460781.49
2015-10-26,3.53,3.53,3.53,3.53,1024746.64
2015-10-27,3.94,3.94,3.69,3.94,20822405.38
2015-10-28,3.87,4.01,3.52,3.6,15222577.11
2015-10-29,3.47,3.67,3.38,3.56,9340189.48
2015-10-30,3.49,3.49,3.33,3.37,5377890.62
2015-11-02,3.22,3.3,3.1,3.12,5258618.2
2015-11-03,3.14,3.24,3.1,3.15,3218907.24
2015-11-04,3.16,3.37,3.12,3.37,5301473.83
2015-11-05,3.31,3.38,3.25,3.28,5590652.76
2015-11-06,3.25,3.31,3.23,3.29,4387449.45
2015-11-09,3.24,3.29,3.17,3.25,4118597.24
2015-11-10,3.22,3.63,3.2,3.63,8223954.9
2015-11-11,3.63,3.63,3.46,3.5,7463955.43
2015-11-12,3.47,3.7,3.45,3.53,6031564.98
2015-11-13,3.47,3.47,3.29,3.36,4190650.56
2015-11-16,3.27,3.45,3.24,3.4,2329263.27
2015-11-17,3.4,3.44,3.34,3.35,3174117.99
2015-11-18,3.37,3.43,3.29,3.32,2421937.27
2015-11-19,3.32,3.41,3.29,3.38,2417813.53
2015-11-20,3.39,3.67,3.33,3.56,8367166.84
2015-11-23,3.52,3.71,3.48,3.56,6466688.99
2015-11-24,3.57,3.62,3.48,3.55,3552478.92
2015-11-25,3.6,3.6,3.51,3.53,2909734.87
2015-11-26,3.52,3.69,3.48,3.56,5634926.7
2015-11-27,3.51,3.55,3.25,3.3,4769522.41
2015-11-30,3.28,3.34,3.07,3.27,2973062.66
2015-12-01,3.29,3.3,3.22,3.26,1886403.42
2015-12-02,3.27,3.34,3.23,3.33,2279383.45
2015-12-03,3.3,3.39,3.29,3.35,1985160.83
2015-12-04,3.33,3.35,3.25,3.27,2201511.34
2015-12-07,3.29,3.31,3.25,3.26,1346918.07
2015-12-08,3.25,3.25,3.17,3.18,1723433.55
2015-12-09,3.16,3.19,3.14,3.15,1149793.31
2015-12-10,3.15,3.22,3.12,3.15,1412158.47
2015-12-11,3.13,3.32,3.1,3.24,2363277.75
2015-12-14,3.17,3.43,3.15,3.35,3832970.38
2015-12-15,3.38,3.39,3.25,3.27,2370457.21
2015-12-16,3.26,3.33,3.23,3.28,2304847.76
2015-12-17,3.3,3.31,3.24,3.28,4702920.58
2015-12-18,3.24,3.3,3.18,3.25,3062021.39
2015-12-21,3.23,3.26,3.2,3.22,2858983.13
2015-12-22,3.23,3.28,3.2,3.24,3286928.24
2015-12-23,3.23,3.24,3.17,3.17,3021137.08
2015-12-24,3.17,3.17,3.12,3.13,2223604.3
2015-12-25,3.14,3.15,3.1,3.13,1897844.49
2015-12-28,3.13,3.14,3.08,3.08,1999582.32
2015-12-29,3.08,3.1,3.07,3.1,1413375.18
2015-12-30,3.1,3.12,3.08,3.09,986392.99
2015-12-31,3.09,3.1,3.05,3.05,1394910.31
2016-01-04,3.04,3.05,2.69,2.71,2014930.48
2016-01-05,2.57,2.76,2.5,2.66,2334354.4
2016-01-06,2.67,2.97,2.66,2.86,3091184.46
2016-01-07,2.76,2.77,2.52,2.53,774950.74
2016-01-08,2.65,2.77,2.42,2.7,2949756.39
2016-01-11,2.61,2.68,2.5,2.52,2256376.14
2016-01-12,2.55,2.63,2.5,2.58,1823955.13
2016-01-13,2.6,2.65,2.51,2.52,1461032.13
2016-01-14,2.43,2.55,2.41,2.55,1551010.69
2016-01-15,2.53,2.53,2.41,2.43,1462497.82
2016-01-18,2.38,2.44,2.37,2.41,1125004.32
2016-01-19,2.4,2.52,2.38,2.49,1550618.13
2016-01-20,2.47,2.48,2.42,2.43,1236523.15
2016-01-21,2.38,2.44,2.35,2.35,1163740.64
