date,open,high,low,close,volume
2015-01-02,406.0,436.0,400.6,412.2,46300.0
2015-01-05,423.2,448.8,421.8,443.0,62000.0
2015-01-06,440.0,468.4,434.2,452.6,80600.0
2015-01-07,439.0,448.6,431.6,437.6,50300.0
2015-01-08,420.4,422.0,407.6,409.6,46900.0
2015-01-09,405.0,428.8,404.8,425.6,56400.0
2015-01-12,428.6,456.2,427.8,445.8,40600.0
2015-01-13,435.2,470.2,430.0,458.6,60900.0
2015-01-14,480.0,484.4,464.8,466.8,90000.0
2015-01-15,461.6,482.4,455.2,481.2,56700.0
2015-01-16,482.2,491.6,466.2,471.0,62200.0
2015-01-20,457.0,482.8,456.4,466.8,58300.0
2015-01-21,472.2,478.4,444.2,444.2,128500.0
2015-01-22,432.0,448.4,415.6,416.2,57100.0
2015-01-23,422.2,428.4,410.0,426.8,40200.0
2015-01-26,422.6,431.2,407.0,407.6,35800.0
2015-01-27,428.0,432.4,413.2,425.2,65100.0
2015-01-28,414.0,465.2,414.0,461.2,82600.0
2015-01-29,460.8,477.2,442.8,445.6,88900.0
2015-01-30,460.0,493.0,451.4,491.0,76300.0
2015-02-02,474.8,496.6,463.8,464.2,71600.0
2015-02-03,455.8,460.2,440.4,442.2,53000.0
2015-02-04,447.6,456.8,434.8,454.6,63200.0
2015-02-05,448.6,449.0,434.6,437.6,61200.0
2015-02-06,432.0,465.8,429.2,456.4,93600.0
2015-02-09,464.8,468.4,456.8,458.6,50100.0
2015-02-10,447.8,456.4,438.6,441.2,59300.0
2015-02-11,445.4,451.4,442.2,443.0,52700.0
2015-02-12,432.8,435.2,414.8,416.8,68300.0
2015-02-13,414.2,422.6,409.4,411.8,50300.0
2015-02-17,415.6,418.6,409.6,412.8,48100.0
2015-02-18,417.8,418.4,407.6,409.2,42500.0
2015-02-19,413.8,414.0,400.0,400.2,44000.0
2015-02-20,408.0,410.4,382.8,385.8,57600.0
2015-02-23,390.0,392.4,385.6,387.2,37500.0
2015-02-24,386.2,386.2,369.0,371.0,82300.0
2015-02-25,372.2,377.6,356.8,373.6,80300.0
2015-02-26,372.6,379.6,364.4,369.0,66500.0
2015-02-27,368.8,372.0,361.6,367.6,57400.0
2015-03-02,365.4,366.6,354.8,354.8,86000.0
2015-03-03,358.6,371.8,356.8,362.6,52400.0
2015-03-04,368.0,375.8,361.2,361.6,78600.0
2015-03-05,359.6,364.6,356.6,356.8,47000.0
2015-03-06,362.2,375.0,357.4,373.2,63600.0
2015-03-09,370.4,373.0,364.2,368.0,50100.0
2015-03-10,378.4,384.4,375.8,379.8,78400.0
2015-03-11,380.2,391.2,379.2,388.0,72400.0
2015-03-12,381.2,381.6,364.4,365.0,60200.0
2015-03-13,366.6,383.0,364.8,373.4,65400.0
2015-03-16,368.8,369.8,361.0,365.0,52300.0
2015-03-17,369.8,372.4,361.8,362.6,43600.0
2015-03-18,365.4,367.8,344.2,347.0,114600.0
2015-03-19,352.6,356.2,346.2,347.6,62200.0
2015-03-20,343.2,346.0,331.6,342.0,95600.0
2015-03-23,339.2,339.8,331.8,335.8,56100.0
2015-03-24,336.2,338.0,327.6,334.0,65400.0
2015-03-25,332.6,349.8,330.8,349.4,105600.0
2015-03-26,356.2,359.4,344.2,346.4,127000.0
2015-03-27,346.6,347.4,340.8,342.2,44900.0
2015-03-30,334.0,334.8,330.0,331.6,66100.0
2015-03-31,333.0,342.2,332.4,340.2,62400.0
2015-04-01,341.0,351.2,339.8,340.0,71000.0
2015-04-02,337.8,339.2,332.0,333.2,46900.0
2015-04-06,336.4,337.6,323.0,325.2,64100.0
2015-04-07,323.4,325.4,320.0,325.4,48300.0
2015-04-08,322.8,325.2,318.2,319.0,53600.0
2015-04-09,317.4,321.0,307.6,308.0,72100.0
2015-04-10,305.2,305.6,294.0,294.4,72500.0
2015-04-13,290.4,304.8,287.6,302.0,69400.0
2015-04-14,305.6,307.6,296.4,299.0,58300.0
2015-04-15,295.0,295.4,289.2,292.4,54500.0
2015-04-16,293.2,294.6,283.8,286.4,46400.0
2015-04-17,295.8,304.2,294.2,295.8,106800.0
2015-04-20,290.4,291.6,284.4,286.2,54300.0
2015-04-21,283.0,289.4,281.8,286.2,48100.0
2015-04-22,285.0,290.2,281.8,283.2,56200.0
2015-04-23,285.0,285.8,278.0,280.6,62900.0
2015-04-24,279.0,281.0,276.8,277.6,37000.0
2015-04-27,275.4,287.8,274.4,286.2,48200.0
2015-04-28,287.8,295.4,275.6,275.6,68900.0
2015-04-29,282.8,287.8,277.2,283.2,70700.0
2015-04-30,287.0,296.6,283.8,290.8,65800.0
2015-05-01,286.8,287.0,276.4,276.4,63300.0
2015-05-04,274.6,280.2,272.6,277.2,41400.0
2015-05-05,278.8,286.6,276.6,286.2,70200.0
2015-05-06,282.8,300.4,282.0,291.4,65000.0
2015-05-07,292.8,296.6,286.4,288.8,55400.0
2015-05-08,278.0,279.6,272.8,274.0,80200.0
2015-05-11,274.8,281.6,273.8,281.4,42500.0
2015-05-12,286.0,289.6,278.6,280.2,59800.0
2015-05-13,277.6,280.6,274.4,275.2,57900.0
2015-05-14,272.2,273.2,269.4,269.4,67200.0
2015-05-15,268.8,272.6,267.0,267.0,53800.0
2015-05-18,267.2,267.6,256.2,258.4,67100.0
2015-05-19,257.0,260.2,252.6,254.6,60000.0
2015-05-20,253.8,258.6,253.0,255.2,47100.0
2015-05-21,257.0,257.8,247.0,247.8,52100.0
2015-05-22,247.8,249.6,245.6,248.4,28600.0
2015-05-26,251.4,260.6,250.4,258.4,71400.0
2015-05-27,256.0,257.2,247.0,248.6,49500.0
2015-05-28,251.4,255.0,250.0,251.6,45900.0
2015-05-29,252.4,256.4,249.6,253.0,71500.0
2015-06-01,250.2,254.4,247.8,250.8,50900.0
2015-06-02,253.0,256.2,250.2,254.6,47500.0
2015-06-03,252.6,254.2,249.6,250.2,55700.0
2015-06-04,253.6,260.0,252.4,258.6,91800.0
2015-06-05,259.2,261.2,253.4,254.0,74500.0
2015-06-08,255.2,261.2,254.8,259.4,51600.0
2015-06-09,260.4,262.8,255.0,256.2,74100.0
2015-06-10,252.8,253.0,244.6,245.6,76000.0
2015-06-11,242.6,243.6,238.8,240.2,69500.0
2015-06-12,243.4,247.8,242.6,243.2,54600.0
2015-06-15,249.6,254.0,248.0,253.8,95900.0
2015-06-16,256.2,257.2,247.6,248.6,87700.0
2015-06-17,247.8,253.6,245.4,247.8,54800.0
2015-06-18,244.8,245.2,238.0,241.0,79700.0
2015-06-19,241.0,244.2,240.2,243.6,52400.0
2015-06-22,237.0,238.8,232.0,232.2,64700.0
2015-06-23,230.6,231.2,226.0,226.0,70700.0
2015-06-24,227.4,230.8,224.4,230.8,52200.0
2015-06-25,228.6,233.6,226.6,232.4,55200.0
2015-06-26,231.4,235.8,229.6,231.0,42700.0
2015-06-29,246.0,273.0,241.6,270.4,197500.0
2015-06-30,256.0,280.8,255.4,268.4,185600.0
2015-07-01,253.6,262.8,249.4,249.8,121200.0
2015-07-02,249.6,270.4,248.8,265.8,136700.0
2015-07-06,278.2,280.8,266.6,272.6,126500.0
2015-07-07,272.0,287.2,258.2,258.2,128300.0
2015-07-08,269.8,284.6,266.4,284.2,200500.0
2015-07-09,268.2,288.2,267.8,286.0,136400.0
2015-07-10,271.4,280.0,263.6,264.2,85400.0
2015-07-13,249.8,251.0,237.2,238.8,100400.0
2015-07-14,239.2,240.2,231.8,236.4,54100.0
2015-07-15,236.0,241.4,232.4,235.8,72100.0
2015-07-16,228.4,228.6,219.8,220.4,117100.0
2015-07-17,219.2,221.6,218.0,218.6,71400.0
2015-07-20,218.4,219.4,213.2,217.8,51900.0
2015-07-21,216.6,219.8,215.6,215.8,51300.0
2015-07-22,221.4,221.8,212.8,214.6,72300.0
2015-07-23,212.6,220.8,211.6,217.4,50500.0
2015-07-24,218.2,227.4,215.6,224.8,82400.0
2015-07-27,233.6,241.2,230.4,236.6,91400.0
2015-07-28,229.4,235.0,216.8,218.6,100300.0
2015-07-29,217.6,218.8,213.4,215.2,81000.0
2015-07-30,216.4,220.6,213.0,213.8,57100.0
2015-07-31,212.4,216.4,210.6,213.4,59400.0
2015-08-03,213.0,218.8,209.8,210.4,86100.0
2015-08-04,211.4,215.0,209.2,211.2,45300.0
2015-08-05,210.2,212.4,206.4,209.0,50900.0
2015-08-06,209.8,221.0,209.6,217.0,92500.0
2015-08-07,216.6,221.0,213.8,215.0,96000.0
2015-08-10,209.6,209.6,206.6,207.0,72600.0
2015-08-11,215.0,220.4,212.0,216.6,100400.0
2015-08-12,228.2,232.0,214.4,216.0,152400.0
2015-08-13,214.2,218.2,210.8,213.6,66000.0
2015-08-14,212.8,216.4,211.4,213.2,51000.0
2015-08-17,215.2,217.4,210.4,210.6,75400.0
2015-08-18,211.6,214.2,209.6,213.0,52000.0
2015-08-19,216.2,222.2,210.6,217.0,161900.0
2015-08-20,226.4,237.2,223.4,236.0,201900.0
2015-08-21,247.8,275.6,240.8,275.2,426600.0
2015-08-24,359.4,376.0,287.4,324.4,455700.0
2015-08-25,290.2,354.2,288.8,353.6,182800.0
2015-08-26,323.2,361.6,317.6,320.2,115200.0
2015-08-27,307.2,348.8,306.8,328.6,102600.0
2015-08-28,339.6,361.0,334.4,344.8,247500.0
2015-08-31,349.4,360.6,344.8,357.8,162300.0
2015-09-01,390.8,419.4,380.2,408.6,275300.0
2015-09-02,386.4,402.0,365.8,366.2,293500.0
