date,open,high,low,close,volume
2015-01-05,12.78,14.21,12.71,14.21,688096.5
2015-01-06,14.48,14.48,13.58,13.7,536227.75
2015-01-07,13.6,14.33,13.5,13.79,368680.47
2015-01-08,13.77,13.78,13.05,13.2,276216.0
2015-01-09,13.03,13.68,13.0,13.3,277343.65
2015-01-12,13.09,13.09,12.38,12.65,218492.01
2015-01-13,12.65,12.79,12.3,12.38,165319.05
2015-01-14,12.2,12.33,11.51,11.77,236632.91
2015-01-15,11.68,12.12,11.06,12.1,296213.8
2015-01-16,11.95,12.31,11.85,12.03,205876.67
2015-01-19,11.47,11.98,10.84,11.17,230365.81
2015-01-20,11.2,11.7,11.2,11.55,159449.56
2015-01-21,11.65,12.18,11.49,12.07,206783.88
2015-01-22,12.1,12.87,12.02,12.38,317113.85
2015-01-23,12.55,12.75,12.05,12.18,223253.57
2015-01-26,12.14,12.45,12.0,12.31,168175.19
2015-01-27,12.42,12.63,12.1,12.35,187808.75
2015-01-28,12.2,12.23,11.98,11.98,135074.53
2015-01-29,11.75,11.97,11.56,11.77,141136.88
2015-01-30,11.89,12.06,11.65,11.71,109851.83
2015-02-02,11.47,11.86,11.3,11.65,98882.09
2015-02-03,11.71,11.96,11.68,11.96,105535.92
2015-02-04,12.39,12.48,11.88,11.92,186148.57
2015-02-05,12.18,12.25,11.58,11.58,144089.03
2015-02-06,11.5,11.57,10.86,11.04,157665.58
2015-02-09,11.0,11.17,10.74,10.96,102031.35
2015-02-10,11.09,11.38,11.02,11.26,93923.43
2015-02-11,11.19,11.38,11.17,11.24,64354.48
2015-02-12,11.25,11.28,11.02,11.15,63141.01
2015-02-13,11.25,11.65,11.25,11.46,118021.02
2015-02-16,11.49,11.68,11.46,11.57,76013.3
2015-02-17,11.64,11.75,11.6,11.71,77757.72
2015-02-25,11.8,11.83,11.41,11.53,107484.53
2015-02-26,11.51,12.2,11.5,12.18,185486.98
2015-02-27,12.18,12.35,11.98,12.17,200561.73
2015-03-02,12.45,12.76,12.41,12.48,284031.58
2015-03-03,12.4,12.82,12.09,12.5,338710.9
2015-03-04,12.48,12.54,12.15,12.35,156349.98
2015-03-05,12.3,12.3,12.01,12.17,133016.42
2015-03-06,12.08,12.98,12.05,12.66,353975.63
2015-03-09,12.53,12.74,12.29,12.74,201406.25
2015-03-10,12.76,12.95,12.55,12.6,199135.76
2015-03-11,12.53,12.74,12.24,12.31,160183.53
2015-03-12,12.3,12.54,12.26,12.48,150779.01
2015-03-13,12.51,12.88,12.46,12.66,212734.18
2015-03-16,12.67,13.0,12.55,13.0,277140.89
2015-03-17,13.0,13.17,12.8,13.14,368757.87
2015-03-18,13.1,13.7,13.01,13.63,415342.56
2015-03-19,13.8,14.0,13.36,13.55,467817.59
2015-03-20,13.7,13.84,13.3,13.49,323835.86
2015-03-23,14.28,14.41,13.86,13.98,533968.38
2015-03-24,14.18,14.66,13.65,14.6,630695.26
2015-03-25,14.3,14.35,13.9,13.97,362589.01
2015-03-26,13.81,14.07,13.52,13.78,245258.61
2015-03-27,13.9,14.29,13.75,13.91,298695.13
2015-03-30,13.9,14.18,13.58,14.09,409107.26
2015-03-31,14.12,14.35,13.68,13.7,402400.19
2015-04-01,13.66,14.03,13.54,14.01,298896.11
