date,open,high,low,close,volume
2016-07-18,2206.0,2225.5,2183.5,2224.5,1762
2016-07-19,2224.5,2248.0,2212.5,2245.0,1886
2016-07-20,2245.0,2254.0,2215.0,2245.0,1930
2016-07-21,2245.0,2294.5,2238.0,2249.0,2375
2016-07-22,2249.0,2275.0,2235.5,2255.0,1983
2016-07-25,2255.0,2274.0,2241.0,2257.0,1407
2016-07-26,2257.0,2257.0,2212.0,2232.0,2150
2016-07-27,2232.0,2233.0,2166.5,2166.5,3092
2016-07-28,2165.0,2208.5,2165.0,2208.5,2265
2016-07-29,2227.0,2250.0,2185.5,2246.5,2607
2016-08-01,2240.0,2280.0,2240.0,2262.0,2060
2016-08-02,2262.0,2299.0,2257.5,2275.0,1871
2016-08-03,2272.0,2282.5,2243.5,2280.0,2255
2016-08-04,2280.0,2283.0,2248.0,2255.0,2015
2016-08-05,2255.0,2273.5,2252.0,2266.5,1865
2016-08-08,2266.5,2288.0,2258.0,2281.0,1265
2016-08-09,2281.0,2281.0,2257.0,2273.5,1636
2016-08-10,2273.5,2314.5,2270.0,2284.0,2862
2016-08-11,2284.0,2292.5,2266.0,2278.5,1627
2016-08-12,2278.5,2284.0,2229.0,2237.0,2458
2016-08-15,2237.0,2267.0,2202.5,2263.5,2124
2016-08-16,2263.5,2274.0,2242.5,2257.5,1922
2016-08-17,2257.5,2274.0,2240.5,2274.0,1736
2016-08-18,2274.0,2309.0,2268.0,2294.0,2231
2016-08-19,2294.0,2304.5,2271.0,2295.0,1631
2016-08-22,2295.0,2295.5,2267.5,2285.0,1622
2016-08-23,2285.0,2306.5,2283.0,2301.5,1537
2016-08-24,2301.5,2312.0,2266.0,2280.0,2122
2016-08-25,2280.0,2299.5,2262.0,2296.5,1801
2016-08-26,2294.5,2333.0,2290.0,2320.0,3322
2016-08-30,2320.0,2320.0,2283.0,2311.5,2421
2016-08-31,2311.0,2328.5,2295.5,2315.5,4654
2016-09-01,2311.0,2347.5,2310.0,2345.0,2286
